source_path,snapshot_path,exists,bytes,file_count,source_kind,snapshot_cutoff_at,data_complete,completion_basis,notes,sha256
export_label\stage1_chinese\project-28-at-2026-06-28-05-14-6830174c.json,analysis_results\prescreen_closeout\raw_inputs\project-28-at-2026-06-28-05-14-6830174c.json,True,1222689,1,raw_label_studio_export,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,raw Label Studio export snapshot; do not edit in closeout audit,025b859048537450fd26c647b53a6e21ecc230d40e58df527c0a3ed22d16573b
export_label\stage1_chinese\project-29-at-2026-06-28-05-14-e10c0195.json,analysis_results\prescreen_closeout\raw_inputs\project-29-at-2026-06-28-05-14-e10c0195.json,True,1309200,1,raw_label_studio_export,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,raw Label Studio export snapshot; do not edit in closeout audit,9e2d2eaa9880dd466643efaaabdbb304bae86437869f4b34767bb22bcda49d95
export_label\stage1_chinese\project-30-at-2026-06-28-05-14-c2c3c1f7.json,analysis_results\prescreen_closeout\raw_inputs\project-30-at-2026-06-28-05-14-c2c3c1f7.json,True,415901,1,raw_label_studio_export,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,raw Label Studio export snapshot; do not edit in closeout audit,9ce1e193da6636452d7866d448a95a5d6d5709dda05cbe28c11ba5b723c95823
export_label\stage1_English\project-39-at-2026-06-28-05-14-65ca3316.json,analysis_results\prescreen_closeout\raw_inputs\project-39-at-2026-06-28-05-14-65ca3316.json,True,1266031,1,raw_label_studio_export,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,raw Label Studio export snapshot; do not edit in closeout audit,f79fb49ae72195c4fbea4934f17ac6235d75da513fa8fbfc11c993ad726a84ae
export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,analysis_results\prescreen_closeout\raw_inputs\project-40-at-2026-06-28-05-14-bb74a057.json,True,1276775,1,raw_label_studio_export,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,raw Label Studio export snapshot; do not edit in closeout audit,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305
export_label\stage1_English\project-41-at-2026-06-28-05-13-8641854f.json,analysis_results\prescreen_closeout\raw_inputs\project-41-at-2026-06-28-05-13-8641854f.json,True,453267,1,raw_label_studio_export,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,raw Label Studio export snapshot; do not edit in closeout audit,307f6e6974a836a21193af64e93e72a0a907d7193be3bff6729f386aeac12fe2
active_logs\new_server,analysis_results\prescreen_closeout\raw_inputs\new_server,True,7696837,56,raw_active_log_snapshot,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,active-log directory snapshot carries aggregate sha256 over copied files,2a1b3ed8735330d35d4dc77574f1e08a8741868d0400270dd337a370efe69f01
analysis_results\final_gold_layer_20260325\final_gold_records_v1.jsonl,analysis_results\prescreen_closeout\raw_inputs\final_gold_records_v1.jsonl,True,122658,1,reference_gold_snapshot,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,raw/audit snapshot retained; primary eligibility decided in closeout audit layer,06692cc9163d0118d9558ee1a9c2ee96770720e53dd45cd50f5cab34d4f57dd7
export_label\groudTruth.json,analysis_results\prescreen_closeout\raw_inputs\groudTruth.json,True,3413015,1,reference_geometry_gt_snapshot,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,read-only frozen geometry GT snapshot for synthetic/source geometry binding,8801761da177f510b59a30705e0578192be8e92f77f00a9d635a42519b1e678c
analysis_results\phase1_progress_20260324\stage1_final_binding_audit_v6.json,analysis_results\prescreen_closeout\raw_inputs\stage1_final_binding_audit_v6.json,True,1124,1,audit_reference_input,2026-06-28T08:50:21.141146+00:00,false,current_partial_export_with_known_dropout_and_pending_completion,audit reference input for dry-run binding; not a raw worker submission source,f3ce0378171fde5666b06c5d5d38f562420e28461a10f781402e32e0b1954afb
