image_id,condition,view,context,point_count,n_workers,n_pairs,median_d_mask
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,reviewed,pooled_unique_workers,8,3,3,0.0179958424951
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,reviewed,pooled_unique_workers,8,3,3,0.065568976242
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,reviewed,pooled_unique_workers,8,1,0,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,reviewed,pooled_unique_workers,8,4,6,0.0626401137484
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,reviewed,pooled_unique_workers,12,1,0,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,reviewed,pooled_unique_workers,8,24,276,0.022511757592
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,reviewed,pooled_unique_workers,8,4,6,0.315070240949
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,reviewed,pooled_unique_workers,12,2,1,0.172700964509
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,reviewed,pooled_unique_workers,14,1,0,
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,reviewed,pooled_unique_workers,16,2,1,0.240808585138
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,reviewed,pooled_unique_workers,18,1,0,
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,reviewed,pooled_unique_workers,20,13,78,0.100662487438
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,reviewed,pooled_unique_workers,22,1,0,
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,reviewed,pooled_unique_workers,8,13,78,0.0635437539146
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,reviewed,pooled_unique_workers,10,2,1,0.120636466127
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,reviewed,pooled_unique_workers,12,3,3,0.164709929693
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,reviewed,pooled_unique_workers,14,2,1,0.0099220411056
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,reviewed,pooled_unique_workers,16,3,3,0.121946995441
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,reviewed,pooled_unique_workers,6,2,1,0.00599760705386
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,reviewed,pooled_unique_workers,8,21,210,0.0495689986325
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,reviewed,pooled_unique_workers,12,1,0,
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,reviewed,pooled_unique_workers,8,4,6,0.340566354372
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,reviewed,pooled_unique_workers,12,1,0,
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,reviewed,pooled_unique_workers,8,3,3,0.527779214733
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,reviewed,pooled_unique_workers,12,3,3,0.270584422783
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,reviewed,pooled_unique_workers,8,4,6,0.0177253478985
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,reviewed,pooled_unique_workers,12,1,0,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,reviewed,pooled_unique_workers,16,1,0,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,reviewed,pooled_unique_workers,16,4,6,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,reviewed,pooled_unique_workers,12,1,0,
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,reviewed,pooled_unique_workers,16,1,0,
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,reviewed,pooled_unique_workers,20,3,3,0.059708590451
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,reviewed,pooled_unique_workers,14,1,0,
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,reviewed,pooled_unique_workers,16,2,1,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,reviewed,pooled_unique_workers,20,1,0,
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,reviewed,pooled_unique_workers,8,4,6,0.171666556658
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,reviewed,pooled_unique_workers,16,1,0,
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,reviewed,pooled_unique_workers,8,5,10,0.0910591231823
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,reviewed,pooled_unique_workers,10,1,0,
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,reviewed,pooled_unique_workers,12,4,6,0.0499534341062
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,reviewed,pooled_unique_workers,8,19,171,0.0907383953165
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,reviewed,pooled_unique_workers,10,2,1,0.163533386491
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,reviewed,pooled_unique_workers,12,3,3,0.00626504378702
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,reviewed,pooled_unique_workers,8,23,253,0.117198373746
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,reviewed,pooled_unique_workers,10,1,0,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,reviewed,pooled_unique_workers,8,4,6,0.106489725455
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,reviewed,pooled_unique_workers,12,1,0,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,reviewed,pooled_unique_workers,8,4,6,0.126378464749
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,reviewed,pooled_unique_workers,8,5,10,0.0481958237761
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,reviewed,pooled_unique_workers,8,3,3,0.0428401304102
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,reviewed,pooled_unique_workers,10,1,0,
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,reviewed,pooled_unique_workers,8,24,276,0.235693693691
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,reviewed,pooled_unique_workers,6,1,0,
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,reviewed,pooled_unique_workers,8,22,231,0.209626699836
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,reviewed,pooled_unique_workers,8,5,10,0.26286352262
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,reviewed,pooled_unique_workers,10,1,0,
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,reviewed,pooled_unique_workers,8,3,3,0.104944865922
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,reviewed,pooled_unique_workers,12,1,0,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,reviewed,pooled_unique_workers,8,22,231,0.346355599574
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,reviewed,pooled_unique_workers,12,2,1,0.474163378181
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,reviewed,pooled_unique_workers,8,1,0,
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,reviewed,pooled_unique_workers,18,1,0,
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,reviewed,pooled_unique_workers,20,3,3,0.0812562313061
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,reviewed,pooled_unique_workers,8,6,15,0.262841002007
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,reviewed,pooled_unique_workers,8,5,10,0.171176560432
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,reviewed,pooled_unique_workers,8,18,153,0.108076976833
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,reviewed,pooled_unique_workers,16,1,0,
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,reviewed,pooled_unique_workers,8,1,0,
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,reviewed,pooled_unique_workers,10,1,0,
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,reviewed,pooled_unique_workers,12,1,0,
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,reviewed,pooled_unique_workers,8,2,1,0.0243538101763
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,reviewed,pooled_unique_workers,16,1,0,
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,reviewed,pooled_unique_workers,8,1,0,
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,reviewed,pooled_unique_workers,12,2,1,0.0676319616488
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,reviewed,pooled_unique_workers,8,20,190,0.0376011871379
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,reviewed,pooled_unique_workers,8,2,1,0.0686243012273
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,reviewed,pooled_unique_workers,8,1,0,
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,reviewed,pooled_unique_workers,12,3,3,0.0613472900077
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,reviewed,pooled_unique_workers,10,1,0,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,reviewed,pooled_unique_workers,12,1,0,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,reviewed,pooled_unique_workers,16,1,0,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,reviewed,pooled_unique_workers,20,1,0,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,reviewed,pooled_unique_workers,16,2,1,0.00902094649736
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,reviewed,pooled_unique_workers,18,1,0,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,reviewed,pooled_unique_workers,20,1,0,
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,reviewed,pooled_unique_workers,8,4,6,0.0493877253044
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,reviewed,pooled_unique_workers,10,1,0,
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos,reviewed,pooled_unique_workers,6,3,3,0.342364827231
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos,reviewed,pooled_unique_workers,8,6,15,0.343942189422
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos,reviewed,pooled_unique_workers,10,8,28,0.297802844382
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos,reviewed,pooled_unique_workers,12,3,3,0.260894112054
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos,reviewed,pooled_unique_workers,14,2,1,0.195700116897
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos,reviewed,pooled_unique_workers,16,2,1,0.386253377275
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,6,2,1,0.159843388282
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,8,8,28,0.12325171136
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,10,1,0,
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,12,5,10,0.114751088138
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,14,2,1,0.102143651216
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,16,1,0,
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,18,3,3,0.0840498867318
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos,reviewed,pooled_unique_workers,28,1,0,
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,reviewed,pooled_unique_workers,8,13,78,0.134488932818
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,reviewed,pooled_unique_workers,10,4,6,0.153845961819
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,reviewed,pooled_unique_workers,12,3,3,0.0269560370375
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,reviewed,pooled_unique_workers,16,4,6,0.243400701239
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,reviewed,pooled_unique_workers,8,21,210,0.0841691693751
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,reviewed,pooled_unique_workers,10,1,0,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,reviewed,pooled_unique_workers,12,2,1,0.0527088124171
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,reviewed,pooled_unique_workers,8,2,1,0.0467829540047
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,reviewed,pooled_unique_workers,10,2,1,0.00161267044421
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,reviewed,pooled_unique_workers,12,2,1,0.128194333066
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,reviewed,pooled_unique_workers,8,2,1,0.0339200933769
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,reviewed,pooled_unique_workers,10,1,0,
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,reviewed,pooled_unique_workers,12,1,0,
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,reviewed,pooled_unique_workers,8,1,0,
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,reviewed,pooled_unique_workers,12,2,1,0.0807933801821
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,reviewed,pooled_unique_workers,14,1,0,
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,reviewed,pooled_unique_workers,16,1,0,
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,reviewed,pooled_unique_workers,8,22,231,0.0254288688354
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,reviewed,pooled_unique_workers,12,1,0,
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,reviewed,pooled_unique_workers,8,3,3,0.0511403046723
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,reviewed,pooled_unique_workers,12,2,1,0.0210418058894
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos,reviewed,pooled_unique_workers,10,2,1,0.155384724387
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos,reviewed,pooled_unique_workers,12,14,91,0.0868488338484
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos,reviewed,pooled_unique_workers,14,8,28,0.0838260100834
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,reviewed,pooled_unique_workers,8,1,0,
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,reviewed,pooled_unique_workers,16,1,0,
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,reviewed,pooled_unique_workers,10,1,0,
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,reviewed,pooled_unique_workers,16,1,0,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,reviewed,pooled_unique_workers,8,4,6,0.0565653472616
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,reviewed,pooled_unique_workers,12,1,0,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,reviewed,pooled_unique_workers,18,2,1,0.0564633984323
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,reviewed,pooled_unique_workers,8,5,10,0.0384763281261
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,reviewed,pooled_unique_workers,10,1,0,
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,reviewed,pooled_unique_workers,12,2,1,0.0525850640742
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,reviewed,pooled_unique_workers,20,2,1,0.0400205087305
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,reviewed,pooled_unique_workers,24,9,36,0.0409992494907
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,reviewed,pooled_unique_workers,8,2,1,0.0794784990697
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,reviewed,pooled_unique_workers,12,1,0,
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,reviewed,pooled_unique_workers,14,1,0,
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,reviewed,pooled_unique_workers,26,1,0,
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,manual,reviewed,pooled_unique_workers,8,2,1,0.000921623958422
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,semi,reviewed,pooled_unique_workers,12,21,210,0.0198489642764
