worker_id,raw_condition,n,images,buildings,median_quality,median_time,geometry_failure_rate
W001,manual,71,71,20,0.0939409856578,62.5,0
W001,oos,9,9,6,,58,0
W001,semi,25,25,10,0.090572519084,55,0
W002,manual,70,70,19,0.033078242709,104,0.0714285714286
W002,oos,9,9,6,,34,0
W002,semi,23,23,10,0.0235456264624,31,0
W006,manual,70,70,19,0.0867333390774,35,0
W006,oos,9,9,6,,142,0
W006,semi,22,22,10,0.0261999179543,36.5,0.0454545454545
W008,manual,70,70,20,0.0768788897553,179.5,0
W008,oos,9,9,6,,478,0
W008,semi,22,22,10,0.0232997806793,120,0
W010,manual,70,70,19,0.100203161765,63.5,0
W010,oos,9,9,6,,135,0
W010,semi,23,23,10,0.0273166214697,70.5,0
W011,manual,71,71,18,0.0903326813232,124,0
W011,oos,9,9,6,,263,0
W011,semi,22,22,11,0.0273331537577,50,0
W012,manual,70,70,19,0.113841911765,59,0.0142857142857
W012,oos,9,9,6,,,0
W012,semi,22,22,10,0.0721582602286,44,0
W013,manual,70,70,19,0.103109561174,48.5,0
W013,oos,9,9,6,,84,0
W013,semi,23,23,11,0.0334232500341,51,0
W014,manual,58,58,12,0.115882423549,,0
W014,oos,9,9,6,,,0
W014,semi,22,22,11,0.032916752944,,0.0454545454545
W015,manual,71,71,21,0.0509906992616,199,0.0140845070423
W015,oos,9,9,6,,295,0
W015,semi,22,22,10,0.0254321959863,110.5,0
W017,manual,70,70,20,0.0618855220293,82,0
W017,oos,9,9,6,,92,0
W017,semi,22,22,11,0.0287402367607,63.5,0.0909090909091
W018,manual,58,58,12,0.0623409228038,56.5,0.0172413793103
W018,oos,9,9,6,,250,0
W018,semi,22,22,11,0.0266964614846,85.5,0
W021,manual,30,30,12,0.0596829208353,36.5,0
W021,oos,9,9,6,,217,0
W021,semi,18,18,10,0.038354468379,36,0
W027,manual,58,58,12,0.0127175368139,356,0
W027,oos,9,9,6,,459,0
W027,semi,23,23,11,0.0332467296003,331,0
W028,manual,70,70,18,0.094386914688,198.5,0.0142857142857
W028,oos,9,9,6,,411,0.111111111111
W028,semi,23,23,11,0.0316202931625,225,0
W029,manual,70,70,18,0.101658075166,216.5,0.0142857142857
W029,oos,9,9,6,,425,0
W029,semi,23,23,11,0.0649178725268,231,0
W030,manual,70,70,18,0.103167124136,70,0
W030,oos,9,9,6,,304,0
W030,semi,23,23,11,0.0597750254762,82,0
W031,manual,76,76,19,0.0838504613521,144,0.0263157894737
W031,oos,9,9,6,,,0
W031,semi,23,23,11,0.0647068545842,132.5,0
W032,manual,71,71,18,0.0841164651609,214,0.0140845070423
W032,oos,9,9,6,,399,0
W032,semi,23,23,11,0.0445423844531,228,0
W033,manual,71,71,18,0.0909610625568,305,0
W033,oos,9,9,6,,206,0
W033,semi,22,22,11,0.0252601214908,122.5,0
W034,manual,88,88,19,0.120128969633,139,0
W034,oos,9,9,6,,,0
W034,semi,24,24,12,0.0604162073173,92,0
W035,manual,70,70,18,0.112342256819,173.5,0
W035,oos,9,9,6,,,0
W035,semi,22,22,10,0.0737050664309,72,0
W036,manual,70,70,18,0.0823180902198,720,0
W036,oos,9,9,6,,676,0
W036,semi,22,22,11,0.0240059671415,362.5,0.0454545454545
W037,manual,71,71,18,0.120429654089,220,0.0140845070423
W037,oos,9,9,6,,660,0.333333333333
W037,semi,22,22,11,0.0674662595539,261,0.0454545454545
