image_id,building,condition,view,context,n_responses,n_workers,n_geometry,n_geometry_failed,n_quality,n_time,n_scope_known,n_scope_unknown,n_distinct_point_counts,n_structural_pairs,n_same_topology_pairs,reference_geometry_error,owner_valid_active_seconds,point_count_disagreement,within_topology_geometry_dispersion,scope_non_normal_rate,scope_entropy,geometry_failure_rate,stage_count,stages,reference_status,imputed_responses,scope_p_normal,scope_p_oos_open_boundary,scope_p_oos_geometry,scope_p_oos_split_level,scope_p_oos_insufficient,scope_p_unknown
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,reviewed,pooled_unique_workers,3,3,3,0,3,3,3,0,1,3,3,0.0374970252261,151,0,0.0179958424951,0,-0,0,1,C2-A-RP,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,reviewed,pooled_unique_workers,3,3,3,0,3,3,3,0,1,3,3,0.0425574671959,237,0,0.065568976242,0,-0,0,1,C2-A-RP,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,reviewed,pooled_unique_workers,1,1,1,0,1,1,1,0,1,0,0,0.044126875587,137,,,0,-0,0,1,C2-A-RP,public_dataset_reference_not_quality_assumed,0,1,0,0,0,0,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,2,10,6,0.165170960042,81,0.4,0.0626401137484,0.4,1.37095059445,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.6,0.2,0.2,0,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,24,24,24,0,24,19,24,0,1,276,276,0.0137944452385,47,0,0.022511757592,0,-0,0,1,P1,adjudicated_reference,0,1,0,0,0,0,0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,reviewed,pooled_unique_workers,24,24,24,0,0,19,24,0,7,276,86,,277,0.688405797101,0.110721760296,0.541666666667,1.20690842515,0,1,P1,reference_not_geometry_ready,0,0.458333333333,0,0.0416666666667,0.5,0,0
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,reviewed,pooled_unique_workers,24,24,23,1,0,19,24,0,5,253,86,,231,0.660079051383,0.0656236589395,0.458333333333,1.30850244452,0.0416666666667,1,P1,reference_not_geometry_ready,0,0.541666666667,0.0833333333333,0,0.375,0,0
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,reviewed,pooled_unique_workers,24,24,24,0,24,18,24,0,3,276,211,0.034661936041,119.5,0.235507246377,0.0495689986325,0.208333333333,1.05535321924,0,1,P1,public_dataset_reference_not_quality_assumed,0,0.791666666667,0.0833333333333,0.0833333333333,0,0.0416666666667,0
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,5,5,5,0,5,5,5,0,2,10,6,0.170542389057,79,0.4,0.340566354372,0.6,1.52192809489,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.4,0.4,0.2,0,0,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,reviewed,pooled_unique_workers,6,6,6,0,6,5,6,0,2,15,6,0.271584581168,122,0.6,0.29368440964,0.333333333333,1.25162916739,0,1,C1,public_dataset_reference_not_quality_assumed,0,0.666666666667,0.166666666667,0.166666666667,0,0,0
