image_id,building_id,max_mask_difference,selected,selection_role,review_id
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,0.03575462150362041,False,,
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,0.2521369714820415,True,max_disagreement,R50-001
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,0.17938169462601516,False,,
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,0.11192621136771941,False,,
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,0.21405255878284923,False,,
7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,7y3sRwLe3Va,0.07142177207478206,False,,
7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,7y3sRwLe3Va,0.16297332545618703,True,seeded_coverage,R50-002
7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67,7y3sRwLe3Va,0.04572433774834439,False,,
B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,B6ByNegPMKs,0.35858202206547296,True,max_disagreement,R50-003
B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,B6ByNegPMKs,0.1896098505810736,False,,
B6ByNegPMKs_1c21814e7e7447d5b650afdff65c287e,B6ByNegPMKs,0.13657645396785478,False,,
B6ByNegPMKs_4e537870fc094609a7eda53d1e313fa8,B6ByNegPMKs,0.2873257958737533,False,,
B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6,B6ByNegPMKs,0.5052507354450297,True,seeded_coverage,R50-004
B6ByNegPMKs_5b3d1c9fefb64512b0c9750a00feece4,B6ByNegPMKs,0.10711061789331588,False,,
B6ByNegPMKs_8c889fb13bce4bcebdac872570cb5381,B6ByNegPMKs,0.16052308232403023,False,,
B6ByNegPMKs_8d4e583714dd484d8e1e9bfb38ef2250,B6ByNegPMKs,0.05275944372731922,True,seeded_coverage,R50-005
B6ByNegPMKs_9a11dae14ce9444287b881b54c6f6b6e,B6ByNegPMKs,0.24502570981444216,False,,
B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec,B6ByNegPMKs,0.334650989505058,True,seeded_coverage,R50-006
B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386,B6ByNegPMKs,0.6653089035813498,True,max_disagreement,R50-007
B6ByNegPMKs_d7ade8d217fe4d068fc3629dd2510898,B6ByNegPMKs,0.0822737643457424,False,,
UwV83HsGsw3_28e58f32d4274b62ac6d2b239e9e8516,UwV83HsGsw3,0.027384955917813092,True,seeded_coverage,R50-008
UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623,UwV83HsGsw3,0.245738221119714,True,seeded_coverage,R50-009
UwV83HsGsw3_a7ae0b7c2c574b4a843af1be0c808f77,UwV83HsGsw3,0.22742805720514025,True,max_disagreement,R50-010
UwV83HsGsw3_b51c75363db94cc09b68d661fcfcd186,UwV83HsGsw3,0.17424255192444904,True,seeded_coverage,R50-011
UwV83HsGsw3_c3d8db2f8817403e88c7d96e96ebd9b6,UwV83HsGsw3,0.05601201704743941,True,max_disagreement,R50-012
X7HyMhZNoso_0595477618f44940b004970372df16dc,X7HyMhZNoso,0.11919365830912154,False,,
X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,X7HyMhZNoso,0.03491736865796413,False,,
X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9,X7HyMhZNoso,0.027655172928849336,False,,
X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35,X7HyMhZNoso,0.3187523179325018,True,max_disagreement,R50-013
X7HyMhZNoso_a830b673f439458aa54a716194d972b7,X7HyMhZNoso,0.018466247759977183,False,,
X7HyMhZNoso_b1e740fa45384144b55ef6675440756b,X7HyMhZNoso,0.05300705604965239,False,,
X7HyMhZNoso_b6bb4e844c5b43ad92904f258660bcaf,X7HyMhZNoso,0.03932036192653443,False,,
X7HyMhZNoso_cd608227f6c94b91af3db8bf6cd28abd,X7HyMhZNoso,0.025365532818983905,False,,
X7HyMhZNoso_e9ae19c83e6243dd81b7213ba5f8c329,X7HyMhZNoso,0.022091954466277097,False,,
