image_id,building_id,left,right,linear_mask_difference,left_corner_pairs,right_corner_pairs
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,reference,hohonet,0.029979589623246095,8,8
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,reference,bilayout_enclosed,0.03575462150362041,8,9
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,reference,bilayout_extended,0.03193731873248462,8,8
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,hohonet,bilayout_enclosed,0.022456607749965163,8,9
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,hohonet,bilayout_extended,0.017398096507942773,8,8
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,bilayout_enclosed,bilayout_extended,0.007147546854482489,9,8
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,reference,hohonet,0.10080048646342898,6,8
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,reference,bilayout_enclosed,0.2521369714820415,6,14
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,reference,bilayout_extended,0.17825287196751471,6,14
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,hohonet,bilayout_enclosed,0.1709380058815846,8,14
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,hohonet,bilayout_extended,0.08711875476216391,8,14
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,bilayout_enclosed,bilayout_extended,0.10296759829581037,14,14
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,reference,hohonet,0.17938169462601516,8,8
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,reference,bilayout_enclosed,0.13250386437929196,8,8
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,reference,bilayout_extended,0.1282155693824587,8,15
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,hohonet,bilayout_enclosed,0.14240264575335315,8,8
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,hohonet,bilayout_extended,0.15775243916774417,8,15
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,bilayout_enclosed,bilayout_extended,0.12154768967108298,8,15
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,reference,hohonet,0.09448693329435143,6,6
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,reference,bilayout_enclosed,0.11192621136771941,6,6
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,reference,bilayout_extended,0.11152571290887658,6,6
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,hohonet,bilayout_enclosed,0.05427709169396999,6,6
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,hohonet,bilayout_extended,0.05430735818811727,6,6
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,bilayout_enclosed,bilayout_extended,0.0008605965050584308,6,6
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,reference,hohonet,0.16578790933291976,4,6
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,reference,bilayout_enclosed,0.21405255878284923,4,10
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,reference,bilayout_extended,0.20938135221466392,4,9
