building_id,config,source_n,folds,target_appearances,common_people_budget,k_max,outside_pool_n,outside_group_n_min,outside_group_n_max,prediction_identified_folds,prediction_not_reached_folds,prediction_unknown_folds,prediction_lower_onset_finite_folds,prediction_both_onsets_finite_folds,prediction_onset_width_le2_folds,prediction_lower_crossing_lt5_folds,prediction_onset_width_mean_among_both_finite,prediction_lower_onset_mean_among_finite,same_error_lower,same_error_upper,outside_error_lower,outside_error_upper,benefit_lower,benefit_upper,same_prediction_unknown_mean,target_unknown_mean,outside_prediction_unknown_mean,outside_N_identified_prediction_fraction,target_N_identified_n,target_N_not_reached_n,target_N_unknown_n,target_N_both_finite_n,target_N_interval_width_le2_n,target_N_lower_crossing_lt5_n,N_identified_pairs,N_absolute_error_sum,outside_N_identified_pairs,outside_N_absolute_error_sum,N_MAE_identified,outside_N_MAE_identified
7y3sRwLe3Va,ospa30_t6,all,6,9,24,19,35,35,50,1,4,1,1,1,1,0,0.0,5.0,0.2836184210526316,0.7765350877192981,0.18796347117794485,0.6491591478696743,-0.5885716165413534,0.36554072681704275,0.3064912280701754,0.3064912280701755,0.32967030075187975,0.13428571428571429,3.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,18.0,46.0,,2.5555555555555554
7y3sRwLe3Va,ospa30_t6,1,3,6,24,19,35,35,35,1,2,0,1,1,1,0,0.0,5.0,0.3124561403508772,0.8140350877192982,0.20242606516290726,0.6620551378446116,-0.611609022556391,0.34959899749373435,0.3064912280701754,0.3064912280701754,0.32181954887218045,0.22857142857142856,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,16.0,44.0,,2.75
7y3sRwLe3Va,ospa30_t6,2,3,3,24,19,35,50,50,0,2,1,0,0,0,0,,,0.25478070175438594,0.7390350877192983,0.17350087719298246,0.636263157894737,-0.5655342105263158,0.38148245614035114,0.3064912280701754,0.3064912280701754,0.337521052631579,0.04,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,,1.0
7y3sRwLe3Va,q_0.800,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0.0,5.0,0.2993421052631579,0.7832894736842105,0.21933746867167922,0.6237046992481204,-0.5639520050125314,0.3243625939849624,0.29754385964912283,0.29754385964912283,0.25416203007518795,0.1842857142857143,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,23.0,76.0,,3.3043478260869565
7y3sRwLe3Va,q_0.800,1,3,6,24,19,35,35,35,1,1,1,1,1,1,0,0.0,5.0,0.32456140350877194,0.8231578947368421,0.23281704260651628,0.6391278195488722,-0.5903408521303258,0.31456641604010027,0.29754385964912283,0.29754385964912283,0.2512556390977444,0.22857142857142856,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,16.0,50.0,,3.125
7y3sRwLe3Va,q_0.800,2,3,3,24,19,35,50,50,0,2,1,0,0,0,0,,,0.2741228070175439,0.7434210526315789,0.20585789473684213,0.6082815789473686,-0.5375631578947367,0.3341587719298247,0.29754385964912283,0.29754385964912283,0.25706842105263156,0.14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,26.0,,3.7142857142857144
7y3sRwLe3Va,q_0.850,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0.0,5.0,0.2993421052631579,0.7832894736842105,0.21910087719298244,0.6234772556390978,-0.5641885964912281,0.32413515037593993,0.29754385964912283,0.29754385964912283,0.25470582706766914,0.1842857142857143,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,23.0,82.0,,3.5652173913043477
7y3sRwLe3Va,q_0.850,1,3,6,24,19,35,35,35,1,1,1,1,1,1,0,0.0,5.0,0.32456140350877194,0.8231578947368421,0.2324035087719298,0.6390325814536341,-0.5907543859649123,0.3144711779448622,0.29754385964912283,0.29754385964912283,0.2518195488721805,0.22857142857142856,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,16.0,50.0,,3.125
7y3sRwLe3Va,q_0.850,2,3,3,24,19,35,50,50,0,2,1,0,0,0,0,,,0.2741228070175439,0.7434210526315789,0.20579824561403512,0.6079219298245614,-0.5376228070175438,0.33379912280701757,0.29754385964912283,0.29754385964912283,0.25759210526315784,0.14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,32.0,,4.571428571428571
7y3sRwLe3Va,q_0.900,all,6,9,24,19,35,35,50,1,3,2,1,1,1,0,0.0,5.0,0.2919956140350877,0.7752412280701754,0.20342174185463657,0.6310095238095238,-0.5718194862155387,0.3390139097744361,0.2979824561403509,0.2979824561403509,0.28704624060150374,0.19857142857142854,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,25.0,100.0,,4.0
