building_ci_high,building_ci_low,estimate,metric,policy,status,task_support,task_total
0.0,0.0,0.0,stop_at_3,F0_FROZEN_BOUND,development_descriptive_only,78,78
0.0,0.0,0.0,incremental_stop_at_4,F0_FROZEN_BOUND,development_descriptive_only,78,78
1.0,1.0,1.0,reach5,F0_FROZEN_BOUND,development_descriptive_only,78,78
5.0,5.0,5.0,mean_k,F0_FROZEN_BOUND,development_descriptive_only,78,78
,,,mean_savings_vs_f0,F0_FROZEN_BOUND,not_identifiable,0,78
1.0,0.9846307692307692,0.992474358974359,selected_output_probability,F0_FROZEN_BOUND,development_descriptive_only,78,78
0.015369230769230769,0.0,0.007525641025641025,autonomous_non_delivery_probability,F0_FROZEN_BOUND,development_descriptive_only,78,78
0.0,0.0,0.0,expert_escalation_probability,F0_FROZEN_BOUND,development_descriptive_only,78,78
0.9048137641265221,0.8603804110925283,0.8804521799166198,public_gt_quality,F0_FROZEN_BOUND,development_descriptive_only,77,78
,,,quality_delta_vs_f0,F0_FROZEN_BOUND,not_identifiable,0,78
,,,mitt_delta_vs_f0,F0_FROZEN_BOUND,not_identifiable,0,78
,,,instability_probability,F0_FROZEN_BOUND,not_identifiable,0,78
,,,corner_count_change_probability,F0_FROZEN_BOUND,not_identifiable,0,78
,,,continuous_geometry_delta,F0_FROZEN_BOUND,not_identifiable,0,78
0.56,0.3460081967213115,0.43085897435897436,stop_at_3,TG_EF5,development_descriptive_only,78,78
0.2547846153846154,0.15077551020408164,0.2007179487179487,incremental_stop_at_4,TG_EF5,development_descriptive_only,78,78
0.4592631578947368,0.2345,0.3684230769230769,reach5,TG_EF5,development_descriptive_only,78,78
4.1073456790123455,3.6789649122807018,3.9375641025641026,mean_k,TG_EF5,development_descriptive_only,78,78
1.3202678571428572,0.8924358974358975,1.0624358974358974,mean_savings_vs_f0,TG_EF5,development_descriptive_only,78,78
1.0,0.9912352941176471,0.9951153846153846,selected_output_probability,TG_EF5,development_descriptive_only,78,78
0.008763888888888889,0.0,0.004884615384615385,autonomous_non_delivery_probability,TG_EF5,development_descriptive_only,78,78
0.0,0.0,0.0,expert_escalation_probability,TG_EF5,development_descriptive_only,78,78
0.903360714211777,0.8600014006420548,0.8795245909600116,public_gt_quality,TG_EF5,development_descriptive_only,77,78
0.0008134569525897079,-0.002548148348144978,-0.0008903714918769612,quality_delta_vs_f0,TG_EF5,development_descriptive_only,77,78
0.006005793699024551,-0.00183380132510753,0.0016252466011916853,mitt_delta_vs_f0,TG_EF5,development_descriptive_only,77,78
0.37984340884279477,0.2196677335730827,0.2860213613058842,instability_probability,TG_EF5,development_descriptive_only,78,78
0.0,0.0,0.0,corner_count_change_probability,TG_EF5,development_descriptive_only,78,78
0.002858611569413983,0.0013670938075425515,0.0019423497284418573,continuous_geometry_delta,TG_EF5,development_descriptive_only,78,78
