F_struct_EB,F_struct_interval_upper,GT_support,Q_GT_EB,Q_GT_EB_LCB,R_LOO_LCB,conservative_rank,profile_status,worker_id
0.045454545454545456,0.1369138623518784,36.0,0.8749948375246849,0.8658861908593266,0.8949436988260151,1,estimated,2
0.016129032258064516,0.07967817381725999,37.0,0.8746647536369333,0.8656747631285168,0.9454162340547178,2,estimated,15
0.04838709677419355,0.14541777735402014,38.0,0.8746296900041101,0.865542575817535,0.9287936340019174,3,estimated,6
0.016666666666666666,0.08228648292382384,37.0,0.874552815023844,0.8654263786951719,0.9509640477488426,4,estimated,17
0.017241379310344827,0.08507120003233525,36.0,0.8744949156312042,0.865402158712677,0.905338055222648,5,estimated,10
0.016666666666666666,0.08228648292382384,37.0,0.8745170398544796,0.8654003877540197,0.9248293044409734,6,estimated,8
0.015151515151515152,0.07492776342928388,38.0,0.8744660401521136,0.8653976011065085,0.9105828244930139,7,estimated,30
0.013888888888888888,0.06877653611605908,38.0,0.8744287485227128,0.8653879785086486,0.9128622407559055,8,estimated,1
0.016129032258064516,0.07967817381725999,38.0,0.8744051576104865,0.8653173411663444,0.8792169217805174,9,estimated,12
0.015151515151515152,0.07492776342928388,40.0,0.8743747596630601,0.8652997041707722,0.9198399571622408,10,estimated,31
0.016129032258064516,0.07967817381725999,37.0,0.8743767722427581,0.8652992529887429,0.9128772316339043,11,estimated,35
0.015625,0.07723003565348169,39.0,0.8744258096794005,0.865282223725753,0.9526987412094327,12,estimated,11
0.016129032258064516,0.07967817381725999,38.0,0.8743397305084735,0.865237990335555,0.8945992156031403,13,estimated,13
0.016129032258064516,0.07967817381725999,35.0,0.8743431766486333,0.8652215245410559,0.9008561934045756,14,estimated,28
0.016666666666666666,0.08228648292382384,37.0,0.8743433285343203,0.865193710883081,0.8502633138331519,15,estimated,36
0.015625,0.07723003565348169,39.0,0.874305935777596,0.8651904672966825,0.9378291541737749,16,estimated,33
0.045454545454545456,0.1369138623518784,39.0,0.8742497621603836,0.865124410991197,0.8336377611651528,17,estimated,32
0.017241379310344827,0.08507120003233525,36.0,0.8741914613443583,0.8650794424457695,0.8956553650475326,18,estimated,29
0.01020408163265306,0.05072726335249248,54.0,0.8741004921314123,0.8649661338559986,0.8640283533290859,19,estimated,34
0.015625,0.07723003565348169,40.0,0.8740279260472277,0.864897768625299,0.8293179080917542,20,estimated,37
