new_stress_tasks,new_stress_slots,maximum_block1_workers,block1_20_of_20_feasible,projected_two_round_plan_feasible
0,0,14,False,False
1,2,16,False,False
2,4,18,False,False
3,6,20,True,False
4,8,20,True,False
5,10,20,True,False
6,12,20,True,False
7,14,20,True,False
8,16,20,True,False
9,18,20,True,False
10,20,20,True,False
11,22,20,True,True
12,24,20,True,True
