scenario,blocks,precision_active_workers,risk_adjustment_active_workers,stress_policy_divergence_probability,policy_divergence,expected_quality_difference,quality_proxy_power,quality_effect_p05,quality_effect_p95
current_boundary_primary,1,4,0,0.0,0.0,0.0,0.050000000000000155,,
current_boundary_primary,2,20,0,0.0,0.0,0.0,0.050000000000000155,,
prior_nonzero_heterogeneity_sensitivity,1,4,4,0.9992,0.20071266375545851,0.0007717453939272478,0.058776076626273266,0.0007684873871219859,0.0007684873871219859
prior_nonzero_heterogeneity_sensitivity,2,20,20,0.9911,0.19908558951965064,0.0020391270217914397,0.07575634599411041,0.0007421396120797738,0.0028597198675001027
