condition,pattern,method,images,rows,mae,kernel
manual,AB,seed_context_t025,46,368,0.39482462484784636,1.136178867702446
manual,AB,seed_equal,46,368,0.3930027173913043,1.1349395207895843
manual,AB,seed_person_t025,46,368,0.395498262032324,1.1380536576793192
manual,AB,seed_type4,46,368,0.3930027173913043,1.1349395207895843
manual,ABCD,seed_context_t025,45,360,0.3016449680677056,1.0646373089497618
manual,ABCD,seed_equal,45,360,0.30011574074074077,1.064244997679069
manual,ABCD,seed_person_t025,45,360,0.30212197598380397,1.065255544056177
manual,ABCD,seed_type4,45,360,0.3001389206857957,1.0651677865878906
manual,ACD,seed_context_t025,45,360,0.2941911179628224,1.010017905088076
manual,ACD,seed_equal,45,360,0.2929398148148148,1.0107490001283133
manual,ACD,seed_person_t025,45,360,0.29481701843749536,1.0111773828353223
manual,ACD,seed_type4,45,360,0.2932848697598697,1.0142261872306724
oos_geometry,AA,seed_context_t025,9,72,0.39369588999452365,1.2413887096056166
oos_geometry,AA,seed_equal,9,72,0.3923611111111111,1.2428354579115402
oos_geometry,AA,seed_person_t025,9,72,0.39699800575467115,1.242971093631766
oos_geometry,AA,seed_type4,9,72,0.4027949121315193,1.2599574151271142
oos_geometry,AAB,seed_context_t025,9,72,0.3283355416526612,1.1669808652742435
oos_geometry,AAB,seed_equal,9,72,0.3263888888888889,1.1664835874594657
oos_geometry,AAB,seed_person_t025,9,72,0.33208018943838397,1.17027706005942
oos_geometry,AAB,seed_type4,9,72,0.32695258590615733,1.1757182993758828
oos_geometry,AABC,seed_context_t025,8,64,0.309246781738339,1.1955648257762852
oos_geometry,AABC,seed_equal,8,64,0.3092447916666667,1.1963736175880595
oos_geometry,AABC,seed_person_t025,8,64,0.3132549471571241,1.1944101685770419
oos_geometry,AABC,seed_type4,8,64,0.31246587683150184,1.2082641074049392
oos_geometry,AB,seed_context_t025,9,72,0.42886524875651727,1.12666542644157
oos_geometry,AB,seed_equal,9,72,0.4305555555555556,1.1317663325053973
oos_geometry,AB,seed_person_t025,9,72,0.4212467728888388,1.1282641797430388
oos_geometry,AB,seed_type4,9,72,0.41828210579103436,1.1357466301776185
oos_geometry,ABCD,seed_context_t025,5,40,0.32579673631605505,1.1826196130368074
oos_geometry,ABCD,seed_equal,5,40,0.32395833333333335,1.1835544436876133
oos_geometry,ABCD,seed_person_t025,5,40,0.32934903331270404,1.188989506677807
oos_geometry,ABCD,seed_type4,5,40,0.31912114239926737,1.1994906202239801
oos_geometry,ACD,seed_context_t025,5,40,0.3111652188972089,1.2336912073537385
oos_geometry,ACD,seed_equal,5,40,0.3114583333333333,1.2343737086489799
oos_geometry,ACD,seed_person_t025,5,40,0.3121802980724181,1.2378809051700348
oos_geometry,ACD,seed_type4,5,40,0.3082249738356881,1.2475213154524254
semi,AA,seed_context_t025,18,144,0.3230273326038302,0.624007984377172
semi,AA,seed_equal,18,144,0.3255208333333333,0.6297894527768452
semi,AA,seed_person_t025,18,144,0.32293407223271486,0.6208581904431226
semi,AA,seed_type4,18,144,0.316301076133116,0.6285375602440518
semi,AAB,seed_context_t025,18,144,0.2373414819775465,0.7606451404940981
semi,AAB,seed_equal,18,144,0.2387152777777778,0.7662065815704582
semi,AAB,seed_person_t025,18,144,0.2380689510546127,0.7576646840314687
semi,AAB,seed_type4,18,144,0.24001868523214676,0.7627525162123036
semi,AABC,seed_context_t025,17,136,0.2813254908400558,0.7793286456563505
semi,AABC,seed_equal,17,136,0.28400735294117646,0.7848238653573316
semi,AABC,seed_person_t025,17,136,0.28141996142182724,0.777873006412358
semi,AABC,seed_type4,17,136,0.2794688371724429,0.7804023356270188
semi,AB,seed_context_t025,18,144,0.3586536944436842,0.8413011214709711
semi,AB,seed_equal,18,144,0.3602430555555556,0.8475595043792041
semi,AB,seed_person_t025,18,144,0.35968703568237,0.8380031183314435
semi,AB,seed_type4,18,144,0.35319936933106577,0.8401194466583705
semi,ABCD,seed_context_t025,17,136,0.3227499492474035,0.824407276468512
semi,ABCD,seed_equal,17,136,0.321078431372549,0.8312850782742219
semi,ABCD,seed_person_t025,17,136,0.3229415401336841,0.8197427913536306
semi,ABCD,seed_type4,17,136,0.31853388134099797,0.8181599558293916
semi,ACD,seed_context_t025,17,136,0.3648812249090246,0.7431624568664585
semi,ACD,seed_equal,17,136,0.3645833333333333,0.7548311478221541
semi,ACD,seed_person_t025,17,136,0.36661542051225127,0.7388707113634521
semi,ACD,seed_type4,17,136,0.36155551066580477,0.7429661652631142
