condition,k,method,image_id,building,n_valid,kernel_score,count_brier,count_tv,uncovered_count,abs_pair_disagreement_error
manual,0,cold_context_personal,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,3,0.7037194897097523,0.0,0.0,0.0,0.0
manual,0,cold_context_personal,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,3,0.8518956942058115,0.0,0.0,0.0,0.0
manual,0,cold_context_personal,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,1.3955053559274522,0.4,0.19999999999999998,0.2,0.4
manual,0,cold_context_personal,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,24,0.40323153491635616,0.0,0.0,0.0,0.0
manual,0,cold_context_personal,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,1.590549783718931,1.6,0.8,0.8,0.4
manual,0,cold_context_personal,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,1.5190560152906754,2.0,1.0,1.0,0.6
manual,0,cold_context_personal,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,1.6953154004919793,1.6666666666666667,0.8333333333333333,0.8333333333333334,0.6
manual,0,cold_context_personal,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,1.4056219134777512,1.6,0.7999999999999999,0.8,0.7000000000000001
manual,0,cold_context_personal,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,5,1.5248512940047534,1.390739538553976,0.8,0.8,0.06509975872218943
manual,0,cold_context_personal,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,1.131290069889736,2.465190328815662e-33,0.0,0.0,0.0
manual,0,cold_context_personal,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,0.8333946827916776,0.4,0.19999999999999998,0.2,0.4
manual,0,cold_context_personal,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,24,1.5029777485618172,0.34343374088051853,0.38135948667496367,0.041666666666666664,0.38852959256552994
manual,0,cold_context_personal,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,1.2289685433768558,0.4,0.19999999999999998,0.2,0.4
manual,0,cold_context_personal,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,1.1656471733946852,0.0,0.0,0.0,0.0
manual,0,cold_context_personal,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,23,1.2891546649840426,0.3678427146569194,0.3965006367610312,0.043478260869565216,0.3916444599785302
manual,0,cold_context_personal,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,6,1.5166631789926148,0.5080491697357181,0.3892653359337311,0.16666666666666666,0.14215377026284548
manual,0,cold_context_personal,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,24,1.0307668644990977,0.16666666666666666,0.08333333333333334,0.08333333333333333,0.15942028985507248
manual,0,cold_context_personal,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,1.6239159694616443,0.7999999999999999,0.4,0.4,0.7000000000000001
manual,0,cold_context_personal,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,6,1.05802514095969,0.19704509170155263,0.31381185099600384,0.0,0.43068581355102675
manual,0,cold_context_personal,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,1.578847695298522,0.0,0.0,0.0,0.0
manual,0,cold_context_personal,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,19,1.8461424401916542,0.10526315789473684,0.052631578947368446,0.05263157894736842,0.10526315789473685
manual,0,cold_context_personal,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,2,1.0752151619750112,1.0,0.5,0.5,1.0
manual,0,cold_context_personal,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,3,1.4324417519052464,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666666
manual,0,cold_context_personal,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,2,1.5688578719760995,0.0,0.0,0.0,0.0
