condition,k,method,image_id,building,count_brier,count_tv,unseen_train_count
manual,0,image,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.1039597793985916,0.2844651442502364,0.0
manual,0,image,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.0896379038190691,0.2637062314750177,0.0
manual,0,image,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,0.3362682126840667,0.1511628997061849,0.0
manual,0,image,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0.0961714589277871,0.2758135238842209,0.0
manual,0,image,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,0.3530677901505031,0.1971634742437127,0.0
manual,0,image,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,0.6261336093644457,0.3266246103301494,0.0
manual,0,image,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,0.5230627836256557,0.1791650560724283,0.0
manual,0,image,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,1.2550350900499532,0.7262579247849396,0.0
manual,0,image,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,0.4491986853364779,0.3849190744808765,0.0
manual,0,image,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,0.1156048106459114,0.3019637545529335,0.0
manual,0,image,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,1.1808265049346776,0.7943098175955647,0.0
manual,0,image,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,0.2123654974828189,0.3231108134164323,0.0
manual,0,image,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,0.3382673604003084,0.1594855871866813,0.0
manual,0,image,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,0.1052651319531654,0.289371767091071,0.0
manual,0,image,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,0.203707123756183,0.3345323256859944,0.0
manual,0,image,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,0.3471874762618621,0.2824413903874872,0.0
manual,0,image,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,0.2013703207697836,0.2024261228265929,0.0
manual,0,image,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,1.097708076410291,0.7609740750791473,0.0
manual,0,image,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,0.1583236143473754,0.3553078565244157,0.0
manual,0,image,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,0.105896595413535,0.2884095629623172,0.0
manual,0,image,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,0.1655380678157985,0.2254489340875513,0.0
manual,0,image,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,1.225502007186479,0.8091294322588505,0.0
manual,0,image,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,0.5490211636371699,0.2896214947634035,0.0
manual,0,image,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,1.1484244600258686,0.86602594254912,0.0
manual,0,image,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.0795483833429663,0.2502879555995992,0.0
manual,0,image,S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM,0.0951664871660295,0.2780805130349197,0.0
manual,0,image,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,1.1484244600258686,0.86602594254912,0.0
manual,0,image,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,1.1384286048127126,0.6314225771245289,0.0
manual,0,image,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,0.4504086608788414,0.4194015508753786,0.0
manual,0,image,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,0.6616819191074251,0.210857431518612,0.0
manual,0,image,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,0.2849549676241124,0.2247167828939262,0.0
manual,0,image,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,0.8792141177622957,0.4871052330003714,0.0
manual,0,image,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,0.9116051903793772,0.4887192464399652,0.0
manual,0,image,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.1654152744029045,0.2594822162875759,0.0
manual,0,image,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,0.5593288331260305,0.2621446945321877,0.0
manual,0,image,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,0.7013694207545087,0.4108317010603569,0.0
manual,0,image,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,1.4059934780420922,0.9123453164676086,0.0
manual,0,image,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,0.6648174044270314,0.3526545346944602,0.0
manual,0,image,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.9548839335263964,0.4998061278327169,0.0
manual,0,image,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,0.8033978020955737,0.3725250599374358,0.0
manual,0,image,VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F,0.10138886996379,0.2839057923872726,0.0
manual,0,image,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,0.3909023029960488,0.2709274119957525,0.0
