condition,k,method,images,buildings,kernel_score,count_brier,count_tv,uncovered_count,abs_pair_disagreement_error
manual,0,cold_context_personal,166,22,1.2831609237335047,0.8062121618690598,0.48312514457634204,0.4190314797183921,0.29045129890748217
manual,0,cold_context_population,166,22,1.2833069645621717,0.8063814882170843,0.4833729988051582,0.4190314797183921,0.29027597415967427
manual,0,cold_personal,166,22,1.2838427180802747,0.8058959704270624,0.4831809316735126,0.4190314797183921,0.2902641554004471
manual,0,cold_population,166,22,1.284161335859345,0.8063320059769012,0.4836192765433318,0.4190314797183921,0.2901088666493227
manual,0,cold_type2,166,22,1.2841458627817361,0.8063336510101843,0.4836124058585186,0.4190314797183921,0.29010122331745486
manual,0,cold_type3,166,22,1.284107685223972,0.8062607354371863,0.4835238321315493,0.4190314797183921,0.2901190589259404
manual,0,cold_type4,166,22,1.2841201363078172,0.8062033970494098,0.48352346945563734,0.4190314797183921,0.29009508417853674
manual,0,cold_uniform,166,22,1.2913513019201353,0.8115758565580737,0.4855187265153216,0.4190314797183921,0.2898373626655174
manual,2,joint_model10,133,20,1.044880190530674,0.5489880979697281,0.32641434343147696,0.20135550232852312,0.259157100480908
manual,2,joint_model25,133,20,0.9812704196406221,0.5242927731535765,0.33118063417302207,0.20135550232852312,0.23962174923538365
manual,2,seed_context_t01,133,20,1.1189355933678244,0.5807126534234096,0.3269967463135416,0.2739228705836402,0.29107634086150913
manual,2,seed_context_t025,133,20,1.110427426644023,0.5817228225770096,0.33001751161614545,0.2739228705836402,0.28820160217685
manual,2,seed_context_t05,133,20,1.1120872353261244,0.5849536578751435,0.3314822494163588,0.2739228705836402,0.2876553873041209
manual,2,seed_equal,133,20,1.1166803770931295,0.5900230107992159,0.3329957501341845,0.2739228705836402,0.28746220346612583
manual,2,seed_model_uniform10,133,20,1.0509067158400363,0.5565808343539437,0.3300441069569774,0.20135550232852312,0.25887603109180657
manual,2,seed_model_uniform25,133,20,0.9871359723605361,0.5310259656760098,0.33456552477450313,0.20135550232852312,0.23935558043413788
manual,2,seed_person_t01,133,20,1.1279824906314373,0.5812753645690928,0.32614767966225744,0.2739228705836402,0.29547641540526753
manual,2,seed_person_t025,133,20,1.1090207143206297,0.5787661212960941,0.32836594584379014,0.2739228705836402,0.2890973617319489
manual,2,seed_person_t05,133,20,1.109919895357257,0.5826415428043149,0.3305927661564293,0.2739228705836402,0.28789448790088407
manual,2,seed_type2,133,20,1.1205976973074507,0.5913577701575048,0.3315743394646535,0.2739228705836402,0.2892892711352988
manual,2,seed_type3,133,20,1.1205309492617812,0.5839511717095132,0.3267931766007839,0.2739228705836402,0.29180119548398564
manual,2,seed_type4,133,20,1.125258246611607,0.5811006905122496,0.32406115636047084,0.2739228705836402,0.2924361284921927
manual,2,selected_context,133,20,1.111007472843547,0.5818161741332191,0.33006046626310775,0.2739228705836402,0.2881899372653713
manual,2,selected_mixture,133,20,0.9812704196406221,0.5242927731535765,0.33118063417302207,0.20135550232852312,0.23962174923538365
manual,2,selected_person,133,20,1.109919895357257,0.5826415428043149,0.3305927661564293,0.2739228705836402,0.28789448790088407
manual,2,selected_type,133,20,1.1166803770931295,0.5900230107992159,0.3329957501341845,0.2739228705836402,0.28746220346612583
manual,4,joint_model10,71,17,0.8719047056747209,0.42236468366395125,0.2434869101818061,0.12749224391181396,0.18453162901281978
manual,4,joint_model25,71,17,0.8540598765839289,0.419676787477562,0.2647968371028842,0.12749224391181396,0.1909277340072572
manual,4,seed_context_t01,71,17,0.9010263495907964,0.4338370598312214,0.23602468166868656,0.17306509623040386,0.20030604302591115
manual,4,seed_context_t025,71,17,0.9018926674116431,0.4383279130731202,0.24280447702200286,0.17306509623040386,0.19992210434561525
manual,4,seed_context_t05,71,17,0.9058232146024408,0.4418957358487372,0.24552321917144146,0.17306509623040386,0.2001047886924349
manual,4,seed_equal,71,17,0.9116668683022195,0.44658903714685777,0.2483554347527661,0.17306509623040386,0.20039540937864317
manual,4,seed_model_uniform10,71,17,0.8815042831234724,0.4304275972599731,0.24955694204211623,0.12749224391181396,0.1853605584602674
manual,4,seed_model_uniform25,71,17,0.8633245333547274,0.4273818869601625,0.27055003020069734,0.12749224391181396,0.19126210381916542
manual,4,seed_person_t01,71,17,0.9046140153377622,0.4301818120371633,0.23219859934622117,0.17306509623040386,0.20241693461530744
manual,4,seed_person_t025,71,17,0.8981520180887002,0.43410518350976685,0.24011250235845974,0.17306509623040386,0.20030399150806352
manual,4,seed_person_t05,71,17,0.90286036069979,0.4391613941402311,0.2439868325025038,0.17306509623040386,0.20019508436220365
manual,4,seed_type2,71,17,0.913110643136775,0.446041614883599,0.246132515591374,0.17306509623040386,0.1994973310665616
manual,4,seed_type3,71,17,0.9145262849518935,0.4418858378945078,0.23945184414328224,0.17306509623040386,0.1978412699072252
manual,4,seed_type4,71,17,0.914508048882023,0.4407051254329251,0.23850126244798225,0.17306509623040386,0.19910586315085477
manual,4,selected_context,71,17,0.8981520180887002,0.43410518350976685,0.24011250235845974,0.17306509623040386,0.20030399150806352
manual,4,selected_mixture,71,17,0.8540598765839289,0.419676787477562,0.2647968371028842,0.12749224391181396,0.1909277340072572
manual,4,selected_person,71,17,0.8985041745458403,0.4342029097777383,0.24023313776865463,0.17306509623040386,0.20042289165558244
manual,4,selected_type,71,17,0.9116668683022195,0.44658903714685777,0.2483554347527661,0.17306509623040386,0.20039540937864317
manual,6,joint_model10,46,15,0.8579740209321964,0.4058027727448818,0.19513505412542673,0.1215977960303408,0.11597191675550163
manual,6,joint_model25,46,15,0.8502209779504863,0.40854358004623564,0.21161464132239347,0.1215977960303408,0.1132489478467074
manual,6,seed_context_t01,46,15,0.8812827814702878,0.41732483255259073,0.19850519568054034,0.1488331885150939,0.14921834995411384
manual,6,seed_context_t025,46,15,0.8783176702831839,0.416185944801553,0.20028192182030444,0.1488331885150939,0.14820723458020887
manual,6,seed_context_t05,46,15,0.8795034848313183,0.41718219979414606,0.20140802513351533,0.1488331885150939,0.14834998784494877
manual,6,seed_equal,46,15,0.8819341101252829,0.4189537018820906,0.20277206246675553,0.1488331885150939,0.1488077087022099
manual,6,seed_model_uniform10,46,15,0.8615952495675251,0.4085103789440959,0.19790325504040338,0.1215977960303408,0.1171752063887614
manual,6,seed_model_uniform25,46,15,0.8538838454310875,0.4111500442955579,0.21373657926567133,0.1215977960303408,0.11350888901640181
manual,6,seed_person_t01,46,15,0.8841054930275682,0.4173115025912488,0.19885840754847434,0.1488331885150939,0.15108891127786625
