worker_id,canonical_rows,all_images,manual_valid_images,semi_valid_images,oos_geometry_valid_images
W001,105,105,71,25,9
W002,102,102,65,23,9
W006,101,101,70,21,9
W008,101,101,70,22,9
W010,102,102,70,23,9
W011,102,102,71,22,9
W012,101,101,69,22,9
W013,102,102,70,23,9
W014,89,89,58,21,9
W015,102,102,70,22,9
W017,101,101,70,20,9
W018,89,89,57,22,9
W021,57,57,30,18,9
W027,90,90,58,23,9
W028,102,102,69,23,8
W029,102,102,69,23,9
W030,102,102,70,23,9
W031,108,107,74,23,9
W032,103,103,70,23,9
W033,102,102,71,22,9
W034,121,120,88,24,9
W035,101,101,70,22,9
W036,101,101,70,21,9
W037,102,102,70,21,6
