condition,k,method,images,brier,tv
manual,0,image,166,0.5580819651462366,0.4239050300280831
manual,0,image_type2,166,0.5575831495403748,0.4232509833691954
manual,0,image_type3,166,0.5565075027598262,0.4236442896650836
manual,0,image_type4,166,0.5562659230144924,0.42205712861919864
manual,0,joint,166,0.5540746424119912,0.4220211713988674
manual,0,person,166,0.5953550831855215,0.46338893411072757
manual,0,population,166,0.5987241418943412,0.46566101133026744
manual,2,image,133,0.4784302075937732,0.35839369431389595
manual,2,image_type2,133,0.47715165278471006,0.3574469448676574
manual,2,image_type3,133,0.4726739746775099,0.3560770653802997
manual,2,image_type4,133,0.471095587261715,0.35308276352336415
manual,2,joint,133,0.47236008184013434,0.3553511735285254
manual,2,person,133,0.4890478249909965,0.37787120842320854
manual,2,population,133,0.49618038309616114,0.38198440891950514
manual,4,image,71,0.4149664428296647,0.2949039160385041
manual,4,image_type2,71,0.41388813659604906,0.29330765709033274
manual,4,image_type3,71,0.4087388804925633,0.28858878150257916
manual,4,image_type4,71,0.40809101401549225,0.2868520793839214
manual,4,joint,71,0.40806624265716124,0.2902834884459959
manual,4,person,71,0.41877885485049215,0.309460220323627
manual,4,population,71,0.4281096047336664,0.3160757790665616
manual,6,image,46,0.40223371278333586,0.2235988054856822
manual,6,image_type2,46,0.401377431631017,0.2215882095819121
manual,6,image_type3,46,0.39981007960657783,0.21984022727457103
manual,6,image_type4,46,0.39940311711108617,0.21794973146773206
manual,6,joint,46,0.39874681695135966,0.22109961478220705
manual,6,person,46,0.40840920372647405,0.24058707411819746
manual,6,population,46,0.41272477124309265,0.24435104420887488
manual,8,image,46,0.3910890886897547,0.20688393313781017
manual,8,image_type2,46,0.390222164028094,0.20548161162037254
manual,8,image_type3,46,0.3887305778483571,0.20415575056198723
manual,8,image_type4,46,0.3880013052101728,0.20243135301565265
manual,8,joint,46,0.3873236139296154,0.20476624704649538
manual,8,person,46,0.3930354563598907,0.21972776716910197
manual,8,population,46,0.39793293951386766,0.22273968462473742
oos_geometry,0,image,9,0.8211316805259333,0.5016437486854032
oos_geometry,0,image_type2,9,0.8253585475608586,0.5047094499883326
oos_geometry,0,image_type3,9,0.821764576226069,0.5030770661137995
oos_geometry,0,image_type4,9,0.8177268890761552,0.5007626599747956
oos_geometry,0,joint,9,0.82456164041012,0.5038247000495943
oos_geometry,0,person,9,0.8563310597189746,0.5289011527846624
oos_geometry,0,population,9,0.8587617449650753,0.5270391587508072
oos_geometry,2,image,9,0.7355613439498664,0.43407509140607303
oos_geometry,2,image_type2,9,0.7326306954034019,0.4305278017207409
oos_geometry,2,image_type3,9,0.7267776562552277,0.42604095707007394
oos_geometry,2,image_type4,9,0.7280060807225088,0.42730733756265615
oos_geometry,2,joint,9,0.7322307213208379,0.4338863534510389
oos_geometry,2,person,9,0.7449589693336583,0.44830806867353523
oos_geometry,2,population,9,0.7555313189028099,0.4517538530904852
oos_geometry,4,image,9,0.6724099999674897,0.36351210286917757
oos_geometry,4,image_type2,9,0.6733007419041301,0.3618427941936978
oos_geometry,4,image_type3,9,0.6660854526053441,0.35710353294903774
oos_geometry,4,image_type4,9,0.6656683116760219,0.35544873397728377
oos_geometry,4,joint,9,0.668033297258732,0.36290830600284324
oos_geometry,4,person,9,0.6723837133176086,0.3692212614669215
oos_geometry,4,population,9,0.6845763382244375,0.37161533644887923
oos_geometry,6,image,9,0.6363644333962192,0.32559361944291876
oos_geometry,6,image_type2,9,0.6354347607683171,0.3237071717267429
oos_geometry,6,image_type3,9,0.6273477447287895,0.32090390267732594
oos_geometry,6,image_type4,9,0.6256595360729057,0.31861780884463414
oos_geometry,6,joint,9,0.6310726037744643,0.32359921821739973
oos_geometry,6,person,9,0.6318663188119025,0.3294409008253737
oos_geometry,6,population,9,0.6462584387970396,0.33515068898364486
oos_geometry,8,image,9,0.6184193117338121,0.30525797484896605
oos_geometry,8,image_type2,9,0.6163622356231583,0.30250743289978455
oos_geometry,8,image_type3,9,0.6096361380279725,0.30119938800114576
oos_geometry,8,image_type4,9,0.6076586731324978,0.2988489219917293
oos_geometry,8,joint,9,0.6129572287546422,0.30305493442255055
oos_geometry,8,person,9,0.6092314581165401,0.3076340405216372
oos_geometry,8,population,9,0.624119056528932,0.31291989965490646
semi,0,image,43,0.5081612793197556,0.4090925893019987
semi,0,image_type2,43,0.5067957260726305,0.40553531663934844
semi,0,image_type3,43,0.5062453146148662,0.4036160571175678
semi,0,image_type4,43,0.5054483683945875,0.40334532369026643
semi,0,joint,43,0.5042444528173651,0.4045993463498485
semi,0,person,43,0.5943157325355656,0.4799478688619947
semi,0,population,43,0.5975317877731122,0.4834250716407732
semi,2,image,42,0.40141201267104865,0.34389866071466674
semi,2,image_type2,42,0.39888474670063623,0.34052730199602965
semi,2,image_type3,42,0.39810421769612375,0.3376466147089187
semi,2,image_type4,42,0.3949481099069893,0.33580884833260455
semi,2,joint,42,0.3973933352277667,0.34013647767865435
semi,2,person,42,0.43516971331632925,0.38099296562464025
semi,2,population,42,0.4412375160513636,0.38626200083402573
semi,4,image,18,0.28055253846084555,0.21639813208742664
semi,4,image_type2,18,0.2743960046089695,0.21107819117178067
semi,4,image_type3,18,0.2730337992529199,0.2082763595525401
semi,4,image_type4,18,0.27179080216472074,0.2087569288711838
semi,4,joint,18,0.27572696648855316,0.21324456900949101
semi,4,person,18,0.2868273483395287,0.24292851401821608
semi,4,population,18,0.29432681422304136,0.24840664640495394
semi,6,image,18,0.26352318595470864,0.19323751808633596
semi,6,image_type2,18,0.2549227103203982,0.18746844652430414
semi,6,image_type3,18,0.25425920621839865,0.18635459841513302
semi,6,image_type4,18,0.2531187935415785,0.1862886413664947
semi,6,joint,18,0.25798777076549895,0.18973065558220226
semi,6,person,18,0.2640781462816759,0.2108968055865038
