image_id,building,condition,k,repeat,method,cut,hidden_geometry_outside_candidate_support,hidden_counts_outside_support,n_hidden
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,0,seed_equal,0.2,0.0625,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,0,selected_mixture,0.05,0.25,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,0,selected_mixture,0.1,0.0625,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,0,selected_mixture,0.2,0.0625,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,1,seed_equal,0.05,0.25,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,1,seed_equal,0.1,0.0625,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,1,seed_equal,0.2,0.0625,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,1,selected_mixture,0.05,0.25,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,1,selected_mixture,0.1,0.0625,0.0625,16
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,8,1,selected_mixture,0.2,0.0625,0.0625,16
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,0,seed_equal,0.05,0.7368421052631579,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,0,seed_equal,0.1,0.47368421052631576,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,0,seed_equal,0.2,0.15789473684210525,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,0,selected_mixture,0.05,0.7368421052631579,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,0,selected_mixture,0.1,0.47368421052631576,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,0,selected_mixture,0.2,0.15789473684210525,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,1,seed_equal,0.05,0.9473684210526315,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,1,seed_equal,0.1,0.7894736842105263,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,1,seed_equal,0.2,0.42105263157894735,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,1,selected_mixture,0.05,0.9473684210526315,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,1,selected_mixture,0.1,0.3684210526315789,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,4,1,selected_mixture,0.2,0.10526315789473684,0.05263157894736842,19
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,0,seed_equal,0.05,0.7333333333333333,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,0,seed_equal,0.1,0.3333333333333333,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,0,seed_equal,0.2,0.13333333333333333,0.06666666666666667,15
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,8,0,selected_mixture,0.05,0.7333333333333333,0.06666666666666667,15
