NOVELTY_FOLD manual 7y3sRwLe3Va heldout 212
NOVELTY_FOLD manual B6ByNegPMKs heldout 496
NOVELTY_FOLD manual S9hNv5qa7GM heldout 232
NOVELTY_FOLD manual UwV83HsGsw3 heldout 482
NOVELTY_FOLD manual VFuaQ6m2Qom heldout 134
NOVELTY_FOLD manual X7HyMhZNoso heldout 164
NOVELTY_FOLD manual Z6MFQCViBuw heldout 18
NOVELTY_FOLD manual b8cTxDM8gDG heldout 170
NOVELTY_FOLD manual e9zR4mvMWw7 heldout 188
NOVELTY_FOLD manual jh4fc5c5qoQ heldout 4
NOVELTY_FOLD manual jtcxE69GiFV heldout 24
NOVELTY_FOLD manual pRbA3pwrgk9 heldout 130
NOVELTY_FOLD manual pa4otMbVnkk heldout 12
NOVELTY_FOLD manual q9vSo1VnCiC heldout 674
NOVELTY_FOLD manual rPc6DW4iMge heldout 904
NOVELTY_FOLD manual uNb9QFRL6hY heldout 1732
NOVELTY_FOLD manual wc2JMjhGNzB heldout 656
NOVELTY_FOLD manual x8F5xyUWy9e heldout 170
NOVELTY_FOLD manual yqstnuAEVhm heldout 954
NOVELTY_FOLD manual zsNo4HB9uLZ heldout 12
NOVELTY_FOLD semi 7y3sRwLe3Va heldout 160
NOVELTY_FOLD semi B6ByNegPMKs heldout 316
NOVELTY_FOLD semi UwV83HsGsw3 heldout 8
NOVELTY_FOLD semi X7HyMhZNoso heldout 156
NOVELTY_FOLD semi Z6MFQCViBuw heldout 162
NOVELTY_FOLD semi b8cTxDM8gDG heldout 152
NOVELTY_FOLD semi e9zR4mvMWw7 heldout 752
NOVELTY_FOLD semi q9vSo1VnCiC heldout 160
NOVELTY_FOLD semi rPc6DW4iMge heldout 136
NOVELTY_FOLD semi uNb9QFRL6hY heldout 180
NOVELTY_FOLD semi wc2JMjhGNzB heldout 618
NOVELTY_FOLD semi yqstnuAEVhm heldout 10
NOVELTY_FOLD oos_geometry 7y3sRwLe3Va heldout 296
NOVELTY_FOLD oos_geometry UwV83HsGsw3 heldout 448
NOVELTY_FOLD oos_geometry b8cTxDM8gDG heldout 144
NOVELTY_FOLD oos_geometry q9vSo1VnCiC heldout 152
NOVELTY_FOLD oos_geometry uNb9QFRL6hY heldout 144
NOVELTY_FOLD oos_geometry yqstnuAEVhm heldout 152
NOVELTY_SUMMARY
   condition  k                         method  images    brier  uncovered_brier
oos_geometry  6                          joint       9 0.712430         0.317671
oos_geometry  6                  person_prefix       9 0.674134         0.307379
oos_geometry  6                         prefix       9 0.578537         0.250838
oos_geometry  6             training_frequency       9 0.580429         0.248596
oos_geometry  8 closed_seed_assumes_no_novelty       9 0.739815         0.369907
oos_geometry  8                   image_prefix       9 0.648239         0.294720
oos_geometry  8                    interaction       9 0.681781         0.313028
oos_geometry  8                          joint       9 0.687987         0.310071
oos_geometry  8                  person_prefix       9 0.634399         0.291736
oos_geometry  8                         prefix       9 0.538442         0.235949
oos_geometry  8             training_frequency       9 0.557894         0.243250
        semi  2 closed_seed_assumes_no_novelty      42 0.688915         0.344457
        semi  2                   image_prefix      42 0.490786         0.230282
        semi  2                    interaction      42 0.631560         0.284121
        semi  2                          joint      42 0.590930         0.269599
        semi  2                  person_prefix      42 0.582311         0.254831
        semi  2                         prefix      42 0.498468         0.216299
        semi  2             training_frequency      42 0.525925         0.233977
        semi  4 closed_seed_assumes_no_novelty      18 0.352047         0.176023
        semi  4                   image_prefix      18 0.313462         0.150357
        semi  4                    interaction      18 0.373446         0.187902
        semi  4                          joint      18 0.377347         0.190151
        semi  4                  person_prefix      18 0.310180         0.150014
        semi  4                         prefix      18 0.300321         0.141742
        semi  4             training_frequency      18 0.316851         0.152237
        semi  6 closed_seed_assumes_no_novelty      18 0.343432         0.171716
        semi  6                   image_prefix      18 0.308654         0.146526
        semi  6                    interaction      18 0.349632         0.175795
        semi  6                          joint      18 0.350470         0.176649
        semi  6                  person_prefix      18 0.293370         0.141935
        semi  6                         prefix      18 0.299164         0.141502
        semi  6             training_frequency      18 0.306560         0.146938
        semi  8 closed_seed_assumes_no_novelty      18 0.301025         0.150513
        semi  8                   image_prefix      18 0.276957         0.130535
        semi  8                    interaction      18 0.306694         0.154358
        semi  8                          joint      18 0.307702         0.155460
        semi  8                  person_prefix      18 0.263430         0.126136
        semi  8                         prefix      18 0.264966         0.126559
        semi  8             training_frequency      18 0.274138         0.132188
