condition,k,cut,method,image_id,building,metric,real,prediction,abs_error,in_predictive_interval,mc_se
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,diagnostic_stable100,1.0,1.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,diagnostic_stable80,1.0,1.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,diagnostic_stable_multimode80,1.0,0.0,1.0,0.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,half_count_tv,0.0,0.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,half_output_mmd,0.03892648219319461,0.015741732452530074,0.023184749740664538,1.0,0.002605193079512817
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,invalid_generated,0.0,0.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,late_half_new,0.0,0.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,late_quarter_new,0.0,0.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,late_repartition,0.016666666666666666,0.0,0.016666666666666666,0.5,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,terminal_modes,2.0,1.0,1.0,0.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,terminal_point_disagreement,0.0,0.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,terminal_singleton_fraction,0.0,0.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,terminal_supported,2.0,1.0,1.0,0.0,0.0
manual,4,0.05,seed_context_t025,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,terminal_within,0.017895521260954044,0.01563834365539227,0.0022571776055617726,0.0,0.00014329735145836062
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,diagnostic_stable100,0.0,1.0,1.0,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,diagnostic_stable80,0.0,1.0,1.0,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,diagnostic_stable_multimode80,0.0,1.0,1.0,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,half_count_tv,0.08333333333333334,0.0,0.08333333333333334,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,half_output_mmd,0.09896118141957821,0.0866207538409296,0.014316369646398687,1.0,0.01260639427963781
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,invalid_generated,0.0,0.0,0.0,1.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,late_half_new,0.25,0.0,0.25,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,late_quarter_new,0.41666666666666663,0.0,0.41666666666666663,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,late_repartition,0.018976268296920472,0.0,0.018976268296920472,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,terminal_modes,11.0,3.0,8.0,0.0,0.0
manual,4,0.05,seed_context_t025,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,terminal_point_disagreement,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0
