condition,repeat,n_types,left_workers,size,best_disjoint_jaccard
manual,0,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,1.0
manual,0,2,W037,1,1.0
manual,0,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W035|W036,21,0.9545454545454546
manual,0,3,W032|W034,2,0.5
manual,0,3,W037,1,1.0
manual,0,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W035|W036,21,1.0
manual,0,4,W032,1,1.0
manual,0,4,W034,1,1.0
manual,0,4,W037,1,1.0
manual,1,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,1.0
manual,1,2,W037,1,1.0
manual,1,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,22,1.0
manual,1,3,W034,1,1.0
manual,1,3,W037,1,1.0
manual,1,4,W001,1,0.05
manual,1,4,W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W035|W036,21,0.8636363636363636
manual,1,4,W034,1,1.0
manual,1,4,W037,1,1.0
manual,2,2,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W032|W033|W034|W035|W036,23,1.0
manual,2,2,W037,1,1.0
manual,2,3,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W035|W036,21,0.9090909090909091
manual,2,3,W032|W034,2,0.3333333333333333
manual,2,3,W037,1,1.0
manual,2,4,W001|W002|W006|W008|W010|W011|W012|W013|W014|W015|W017|W018|W021|W027|W028|W029|W030|W031|W033|W035|W036,21,0.8181818181818182
manual,2,4,W032,1,0.05263157894736842
