condition,outer_building,k,family,selected,status,validation_images,inner_losses
manual,2t7WUuJeko7,2,selected_person,seed_person_t05,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_person_t01"": 1.1525405250467837, ""seed_person_t025"": 1.1320858695581038, ""seed_person_t05"": 1.1313804607051408}"
manual,2t7WUuJeko7,2,selected_context,seed_context_t025,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_person_t025"": 1.1320858695581038, ""seed_context_t01"": 1.1386537046772838, ""seed_context_t025"": 1.131658369561259, ""seed_context_t05"": 1.1326768257761066}"
manual,2t7WUuJeko7,2,selected_type,seed_equal,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_type2"": 1.1406057882864895, ""seed_type3"": 1.1413591754779333, ""seed_type4"": 1.1503058574829372}"
manual,2t7WUuJeko7,2,selected_mixture,joint_model25,training_inner_building_selected,133,"{""seed_equal"": 1.1357744183057112, ""seed_model_uniform10"": 1.0678805360176715, ""seed_model_uniform25"": 1.0012997974207902, ""joint_model10"": 1.0639719921972755, ""joint_model25"": 0.9974452711744645}"
manual,2t7WUuJeko7,4,selected_person,seed_person_t025,training_inner_building_selected,71,"{""seed_equal"": 0.9245492499460293, ""seed_person_t01"": 0.9340095795879232, ""seed_person_t025"": 0.9196330375164529, ""seed_person_t05"": 0.9204050226218718}"
manual,2t7WUuJeko7,4,selected_context,seed_person_t025,training_inner_building_selected,71,"{""seed_equal"": 0.9245492499460293, ""seed_person_t025"": 0.9196330375164529, ""seed_context_t01"": 0.9285518282866274, ""seed_context_t025"": 0.9219821991694646, ""seed_context_t05"": 0.9225326993676052}"
manual,2t7WUuJeko7,4,selected_type,seed_equal,training_inner_building_selected,71,"{""seed_equal"": 0.9245492499460293, ""seed_type2"": 0.926949320821386, ""seed_type3"": 0.929685620748939, ""seed_type4"": 0.9323575306612043}"
manual,2t7WUuJeko7,4,selected_mixture,joint_model25,training_inner_building_selected,71,"{""seed_equal"": 0.9245492499460293, ""seed_model_uniform10"": 0.8954960809992765, ""seed_model_uniform25"": 0.8784537880253379, ""joint_model10"": 0.8925024751016727, ""joint_model25"": 0.8748572161844274}"
manual,2t7WUuJeko7,6,selected_person,seed_person_t025,training_inner_building_selected,46,"{""seed_equal"": 0.8871603308948647, ""seed_person_t01"": 0.8938479336133013, ""seed_person_t025"": 0.8828000484595108, ""seed_person_t05"": 0.8836586929759768}"
manual,2t7WUuJeko7,6,selected_context,seed_person_t025,training_inner_building_selected,46,"{""seed_equal"": 0.8871603308948647, ""seed_person_t025"": 0.8828000484595108, ""seed_context_t01"": 0.8852031927770377, ""seed_context_t025"": 0.8834559742854374, ""seed_context_t05"": 0.8847898444456029}"
manual,2t7WUuJeko7,6,selected_type,seed_equal,training_inner_building_selected,46,"{""seed_equal"": 0.8871603308948647, ""seed_type2"": 0.8883268228118694, ""seed_type3"": 0.8900752277965884, ""seed_type4"": 0.8957669294499009}"
manual,2t7WUuJeko7,6,selected_mixture,joint_model25,training_inner_building_selected,46,"{""seed_equal"": 0.8871603308948647, ""seed_model_uniform10"": 0.8666743533677839, ""seed_model_uniform25"": 0.8585993749564113, ""joint_model10"": 0.862833967049663, ""joint_model25"": 0.8545927836809446}"
manual,2t7WUuJeko7,8,selected_person,seed_person_t025,training_inner_building_selected,46,"{""seed_equal"": 0.8487981962572725, ""seed_person_t01"": 0.8470393051388029, ""seed_person_t025"": 0.842663897044405, ""seed_person_t05"": 0.8447898755101487}"
manual,2t7WUuJeko7,8,selected_context,seed_person_t025,training_inner_building_selected,46,"{""seed_equal"": 0.8487981962572725, ""seed_person_t025"": 0.842663897044405, ""seed_context_t01"": 0.8429997594056972, ""seed_context_t025"": 0.8442407506044617, ""seed_context_t05"": 0.8461371868726866}"
manual,2t7WUuJeko7,8,selected_type,seed_equal,training_inner_building_selected,46,"{""seed_equal"": 0.8487981962572725, ""seed_type2"": 0.8491280351763891, ""seed_type3"": 0.8497316926773111, ""seed_type4"": 0.8514142618513757}"
manual,2t7WUuJeko7,8,selected_mixture,joint_model10,training_inner_building_selected,46,"{""seed_equal"": 0.8487981962572725, ""seed_model_uniform10"": 0.8357013300374213, ""seed_model_uniform25"": 0.8372233582539432, ""joint_model10"": 0.8313660612987995, ""joint_model25"": 0.8331629368135569}"
manual,7y3sRwLe3Va,2,selected_person,seed_person_t05,training_inner_building_selected,124,"{""seed_equal"": 1.1387860657173245, ""seed_person_t01"": 1.1564975442763739, ""seed_person_t025"": 1.1351076831222147, ""seed_person_t05"": 1.1342642691813318}"
manual,7y3sRwLe3Va,2,selected_context,seed_context_t025,training_inner_building_selected,124,"{""seed_equal"": 1.1387860657173245, ""seed_person_t025"": 1.1351076831222147, ""seed_context_t01"": 1.1421971828553381, ""seed_context_t025"": 1.1347234059510736, ""seed_context_t05"": 1.1356831408217545}"
manual,7y3sRwLe3Va,2,selected_type,seed_equal,training_inner_building_selected,124,"{""seed_equal"": 1.1387860657173245, ""seed_type2"": 1.1419981470402474, ""seed_type3"": 1.1436322736717028, ""seed_type4"": 1.154277206104056}"
manual,7y3sRwLe3Va,2,selected_mixture,joint_model25,training_inner_building_selected,124,"{""seed_equal"": 1.1387860657173245, ""seed_model_uniform10"": 1.0705054473280364, ""seed_model_uniform25"": 1.0034225993881452, ""joint_model10"": 1.0666240349559843, ""joint_model25"": 0.9995976133120318}"
manual,7y3sRwLe3Va,4,selected_person,seed_person_t025,training_inner_building_selected,68,"{""seed_equal"": 0.9311350036380728, ""seed_person_t01"": 0.9402990261704356, ""seed_person_t025"": 0.9256074044934144, ""seed_person_t05"": 0.9265890596909166}"
