condition,k,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,0,image,population,count_brier,166,22,-0.04064217674810456,-0.04836434387443383,-0.03204700661403389,-0.039500882310951925
manual,0,image_type2,population,count_brier,166,22,-0.04114099235396647,-0.04885351604899827,-0.03283993961972895,-0.04029721385776909
manual,0,image_type2,image,count_brier,166,22,-0.0004988156058618986,-0.001256824552638218,0.00024369150790874266,-0.0007963315468171719
manual,0,image_type3,population,count_brier,166,22,-0.042216639134514955,-0.04975429496125935,-0.03349881079790844,-0.04089567277708114
manual,0,image_type3,image,count_brier,166,22,-0.001574462386410398,-0.0024346671119228514,-0.0005875815407676302,-0.0013947904661292165
manual,0,image_type4,population,count_brier,166,22,-0.04245821887984879,-0.04992560172897727,-0.033193596759667314,-0.041283371349558874
manual,0,image_type4,image,count_brier,166,22,-0.001816042131744229,-0.003293764906030469,-0.00035611216554978054,-0.0017824890386069464
manual,0,joint,population,count_brier,166,22,-0.04464949948234989,-0.052450934221887784,-0.035443356533669,-0.0436355417166772
manual,0,joint,image,count_brier,166,22,-0.004007322734245336,-0.005283278021924649,-0.0025515211438887618,-0.004134659405725268
manual,0,person,population,count_brier,166,22,-0.0033690587088196404,-0.004776514865691756,-0.0020547209521337515,-0.0037268879247403654
manual,0,person,image,count_brier,166,22,0.03727311803928492,0.028769309954775193,0.04515545892326381,0.035773994386211566
manual,2,image,population,count_brier,133,20,-0.01775017550238797,-0.02237213287778509,-0.012828734568762795,-0.01493956744321109
manual,2,image_type2,population,count_brier,133,20,-0.019028730311451098,-0.024796318706559007,-0.01322937102738904,-0.017255905344312136
manual,2,image_type2,image,count_brier,133,20,-0.0012785548090631278,-0.0033909330391471786,0.00026846352669827937,-0.0023163379011010453
manual,2,image_type3,population,count_brier,133,20,-0.023506408418651287,-0.030929570744401547,-0.016685164597579544,-0.02069528619986054
manual,2,image_type3,image,count_brier,133,20,-0.005756232916263318,-0.009286231180272848,-0.0025496935533548893,-0.00575571875664945
manual,2,image_type4,population,count_brier,133,20,-0.025084795834446116,-0.032761503667026654,-0.01764858901590675,-0.024007976609296097
manual,2,image_type4,image,count_brier,133,20,-0.0073346203320581475,-0.01239199519994468,-0.0034016759029687517,-0.009068409166085008
manual,2,joint,population,count_brier,133,20,-0.023820301256026823,-0.02975057024729356,-0.018420259291211934,-0.021803401582536526
