condition,k,cut,endpoint,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,4,0.05,terminal_supported,seed_type4,seed_equal,abs_error,46,15,0.00985054347826087,0.0019389204545454547,0.016705729166666655,0.0108270202020202
manual,4,0.05,terminal_supported,selected_mixture,seed_equal,abs_error,46,15,-0.20720108695652173,-0.3967472397669409,0.04053424873737324,-0.20871212121212118
manual,4,0.05,terminal_within,seed_context_t025,seed_equal,abs_error,46,15,9.662370376822042e-05,-2.7336397182787796e-05,0.0002681421119568291,9.077735327540063e-05
manual,4,0.05,terminal_within,seed_person_t025,seed_equal,abs_error,46,15,0.00018673596379850156,-8.322779337671514e-06,0.00041571055515769983,0.00017897645878749453
manual,4,0.05,terminal_within,seed_type4,seed_equal,abs_error,46,15,0.0003230630880246739,-8.465466031644775e-05,0.0007280657368876763,0.00020898284576637116
manual,4,0.05,terminal_within,selected_mixture,seed_equal,abs_error,46,15,-0.0011672504759499436,-0.0017272010312935834,-0.0006522523890661817,-0.0008916739263085511
manual,4,0.1,diagnostic_stable100,seed_context_t025,seed_equal,abs_error,46,15,-0.002377717391304348,-0.006626352163461538,0.0020833333333333333,-0.0012073863636363638
manual,4,0.1,diagnostic_stable100,seed_person_t025,seed_equal,abs_error,46,15,-0.0016983695652173913,-0.00591980719944082,0.001440340909090904,-0.003803661616161616
manual,4,0.1,diagnostic_stable100,seed_type4,seed_equal,abs_error,46,15,-0.0078125,-0.017252604166666668,-0.002374945746527795,-0.010795454545454546
manual,4,0.1,diagnostic_stable100,selected_mixture,seed_equal,abs_error,46,15,-0.3111413043478261,-0.369255989859491,-0.25301951036096265,-0.3163589015151515
manual,4,0.1,diagnostic_stable80,seed_context_t025,seed_equal,abs_error,46,15,-0.0010190217391304348,-0.004944740853658537,0.0023807399134119374,-0.0020675505050505054
manual,4,0.1,diagnostic_stable80,seed_person_t025,seed_equal,abs_error,46,15,0.0016983695652173913,-0.0067708333333333336,0.0073139880952380895,-0.00257260101010101
manual,4,0.1,diagnostic_stable80,seed_type4,seed_equal,abs_error,46,15,-0.0006793478260869565,-0.013119829963235293,0.007978723404255319,-0.001744002525252525
manual,4,0.1,diagnostic_stable80,selected_mixture,seed_equal,abs_error,46,15,-0.13519021739130435,-0.1746644606630381,-0.08881618923611115,-0.16098484848484848
