worker_id,matched_in_selected_sensitivity_solution,reason
1,True,
10,True,
11,True,
12,True,
13,True,
15,True,
17,True,
18,True,
2,False,no_edge_or_displaced_by_lexicographic_matching
27,True,
28,True,
29,True,
30,True,
31,True,
32,False,no_edge_or_displaced_by_lexicographic_matching
33,True,
34,True,
35,True,
36,False,no_edge_or_displaced_by_lexicographic_matching
37,True,
6,True,
8,False,no_edge_or_displaced_by_lexicographic_matching
