construction,status,analysis_role,delta_Q,delta_R,safety_floor,probability_threshold,matched_pairs,matched_workers,eligible_edges,pairs_json,set_id,worker_ids,set_size,selection_basis
1_to_1_maximum_matching,estimated,development_cross_fitted_retrospective_audit_opportunity_estimate,0.02,0.005,0.05,0.5,9,18,69,"[[""1"", ""33""], [""10"", ""28""], [""11"", ""29""], [""12"", ""13""], [""15"", ""37""], [""17"", ""34""], [""18"", ""27""], [""30"", ""35""], [""31"", ""6""]]",,,,
1_to_m_candidate_component,retrospective_graph_feasibility_not_effect,development_cross_fitted_retrospective_audit_opportunity_estimate,,,,,,,,,1,1;10;11;12;13;15;17;18;2;27;28;29;30;31;32;33;34;35;36;37;6;8,22,maximum-cardinality sensitivity grid; not recommended caliper
high_peer_pool_vs_matched_control_pool,not_evaluable_no_historical_randomized_counterfactual,development_cross_fitted_retrospective_audit_opportunity_estimate,,,,,,,,,,,,
