room_id,building,image_a,image_b,condition,worker_id,same_stage,quality_a,quality_b,quality_delta,time_a,time_b,time_delta,scope_non_normal_a,scope_non_normal_b,scope_non_normal_delta,doorway_a,doorway_b,floor_boundary_a,floor_boundary_b,ceiling_boundary_a,ceiling_boundary_b,corner_occlusion_a,corner_occlusion_b,connected_space_a,connected_space_b,reflection_glass_a,reflection_glass_b,low_contrast_a,low_contrast_b
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W017,False,0.0719277796392,0.167142058566,0.0952142789272,124,156,32,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W002,False,0.0489971454327,,,572,175,-397,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W030,False,0.13408968225,0.146785041186,0.0126953589351,43,133,90,1,1,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W034,False,0.135458275714,0.11938403894,-0.0160742367739,,,,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W008,False,0.136093682313,0.240911574833,0.10481789252,328,180,-148,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W001,True,0.146948737479,0.127670289403,-0.019278448076,54,88,34,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W010,True,0.130822573214,0.145326230564,0.0145036573501,86,190,104,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W011,True,0.146157459969,0.274056397674,0.127898937705,93,124,31,0,1,1,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W012,True,0.13560069599,0.335392563247,0.199791867257,,,,0,1,1,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W013,True,0.140764122098,0.271487162895,0.130723040797,8,52,44,0,1,1,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W014,True,0.140764122098,0.275317799137,0.134553677038,,,,0,1,1,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W015,True,0.14047755643,0.102292888652,-0.0381846677785,79,569,490,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W017,True,0.14047755643,0.167142058566,0.026664502136,166,156,-10,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual,W018,True,0.156106702657,,,114,61,-53,0,0,0,否,否,partial,partial,present,present,present,present,present,present,present,present,absent,absent
