tim_scope_rule,tim_highest_tier,tim_rule_type4_flag,tim_rule_type4_excluded_from_m,tim_rule_meta_guard_rejected,tim_rule_active_time_fallback,n_rows,n_tasks,n_workers
gate_excluded,outside_T,False,False,False,False,12,7,3
gate_excluded,outside_T,False,False,False,True,49,49,1
gate_excluded,outside_T,True,True,False,False,2,2,2
gate_excluded,outside_T,True,True,True,False,3,3,1
gate_excluded,outside_T,True,True,True,True,9,9,1
i_tier_in_scope_layout_filtered,I,False,False,False,False,1,1,1
i_tier_in_scope_layout_filtered,I,True,True,True,False,5,5,1
i_tier_type4_guarded,I,True,True,False,False,2,2,2
i_tier_type4_guarded,I,True,True,True,False,9,7,3
i_tier_type4_guarded,I,True,True,True,True,6,6,1
m_tier_layout_usable_clean,M,False,False,False,False,14,10,3
m_tier_layout_usable_clean,M,False,False,False,True,62,62,1
t_tier_scope_filtered,T,False,False,False,False,5,4,3
t_tier_scope_filtered,T,False,False,False,True,7,7,1
t_tier_scope_filtered,T,True,True,True,False,3,3,2
