tier,n_rows,n_tasks,n_workers,mean_active_time,mean_iou,n_type4,n_oos,n_missing_scope,n_direct_log,n_lead_time_fallback
T_total,114,91,4,35.835254385964916,0.9758807729191047,25,14,1,39,75
I_in_scope,99,81,4,35.36893939393939,0.9779442453956443,22,0,0,31,68
M_model_usable_clean,76,72,4,26.08077631578948,0.9743956634201598,0,0,0,14,62
