annotator_id,r_u,r_u_lcb,T_u,C_u,n_model_usable,n_prescreen_semi,n_scene_eligible,worker_group_v2,worker_group_reason_v2,worker_group_reason_chain_v2,group_rule_version_v2
1,1.0,1.0,0.0,0.0,62,6,4,stable,stable_default_v2,n_model_usable:62;n_prescreen_semi:6;n_scene_eligible:4;r_u_lcb:1.0000;T_u:0.0000;C_u:0.0000,stabilized_worker_group_v2
2,0.9681299724752364,0.8911000493417016,0.3333333333333333,,3,3,0,ungrouped,insufficient_model_usable_v2,n_model_usable:3;n_prescreen_semi:3;n_scene_eligible:0;r_u_lcb:0.8911;T_u:0.3333;C_u:na,stabilized_worker_group_v2
3,0.8439403608516564,0.6789689219448622,1.0,0.14616114696572324,7,3,2,vulnerable,vuln_high_trust_risk_v2,n_model_usable:7;n_prescreen_semi:3;n_scene_eligible:2;r_u_lcb:0.6790;T_u:1.0000;C_u:0.1462,stabilized_worker_group_v2
4,0.8837063939483008,0.6152098062295525,0.0,,4,1,1,ungrouped,insufficient_model_usable_v2,n_model_usable:4;n_prescreen_semi:1;n_scene_eligible:1;r_u_lcb:0.6152;T_u:0.0000;C_u:na,stabilized_worker_group_v2
