scene_proxy,core_scene,n_rows,n_tasks,n_workers,in_scope_share,core_scene_rule_version_v2,min_tasks_required_v2,min_workers_required_v2,strict_eligibility_v2,routing_role_v2,strict_gate_reason_v2,scene_bucket_v2,scene_path_template_v2
low_quality|corner_duplicate,low_quality|corner_duplicate,1,1,1,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
low_texture|overextend_adjacent,low_texture|overextend_adjacent,1,1,1,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
occlusion|acceptable,occlusion|acceptable,51,50,3,1.0,scene_proxy_top4_support_v2,3,2,True,routing_candidate_strict,passed,core_scene_strict,core_scene::<core_scene>
occlusion|corner_drift,occlusion|corner_drift,11,4,3,1.0,scene_proxy_top4_support_v2,3,2,True,routing_candidate_strict,passed,core_scene_strict,core_scene::<core_scene>
occlusion|over_parsing,occlusion|over_parsing,7,7,1,1.0,scene_proxy_top4_support_v2,3,2,False,routing_candidate_weak,insufficient_workers,core_scene_weak,fallback::<core_scene>
oos::oos_geometry,oos::oos_geometry,5,5,1,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_oos,fallback::<core_scene>
oos::oos_open_boundary,oos::oos_open_boundary,1,1,1,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_oos,fallback::<core_scene>
oos::oos_split_level,oos::oos_split_level,7,4,4,0.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_oos,fallback::<core_scene>
low_quality|corner_duplicate,other,1,1,1,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
low_texture|acceptable,other,2,2,1,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
low_texture|fail,other,3,1,3,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
low_texture|overextend_adjacent,other,2,1,2,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
occlusion|corner_duplicate,other,5,2,3,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
occlusion|fail,other,2,1,2,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
reflection|corner_drift,other,3,1,3,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
reflection|overextend_adjacent,other,1,1,1,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
trivial|acceptable,other,3,2,3,1.0,scene_proxy_top4_support_v2,3,2,False,audit_only,not_routing_candidate_v1,fallback_other,fallback::<core_scene>
reflection|acceptable,reflection|acceptable,8,8,1,1.0,scene_proxy_top4_support_v2,3,2,False,routing_candidate_weak,insufficient_workers,core_scene_weak,fallback::<core_scene>
