image_id,condition,cut,n_valid,requested_h,observed_k,horizon_shorter_than_requested,orders,n_orders_supported_at_k,p_all_modes_seen_twice_exact,p_all_modes_seen_twice_replay,p_stable_core10_unconditional,p_stable_core10_given_support,p_stable_core15_unconditional,p_stable_core15_given_support,p_stable_core20_unconditional,p_stable_core20_given_support
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,2,2,False,200,126,0.6,0.63,0.505,0.801587301587,0.505,0.801587301587,0.505,0.801587301587
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,3,3,False,200,200,1,1,0.855,0.855,0.855,0.855,0.855,0.855
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,4,4,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,5,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,6,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,7,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,8,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,10,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,12,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,15,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,18,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,19,4,True,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,2,2,False,200,200,1,1,0.875,0.875,0.875,0.875,0.875,0.875
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,3,3,False,200,200,1,1,0.91,0.91,0.91,0.91,0.91,0.91
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,4,4,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,5,5,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,6,6,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,7,7,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,8,8,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,10,10,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,12,12,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,15,15,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,18,18,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,19,19,False,200,200,1,1,1,1,1,1,1,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,2,2,False,100,0,0,0,0,,0,,0,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,3,3,False,100,0,0,0,0,,0,,0,
