image_id,condition,k,orders,total_clusters_mean,total_clusters_p10,total_clusters_p90,supported_clusters_mean,supported_clusters_p10,supported_clusters_p90,singletons_mean,singletons_p10,singletons_p90,tv_all_mean,tv_all_p10,tv_all_p90,tv_core_mean,tv_core_p10,tv_core_p90,p_fixed10pct_accepts,p_count_band_accepts,expert_tag
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,4,200,2.1,1,3,0.98,1,1,1.12,0,2,0.305416666667,0.208333333333,0.416666666667,0.145811403509,0.105263157895,0.228070175439,0.23,0.73,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,6,200,2.545,1,4,1.06,1,1,1.485,0,3,0.264166666667,0.208333333333,0.333333333333,0.114934210526,0.0614035087719,0.144736842105,0.145,0.535,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,8,200,3.02,2,4,1.105,1,2,1.915,1,3,0.229583333333,0.166666666667,0.291666666667,0.0880172305766,0.0197368421053,0.144736842105,0.075,0.375,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,10,200,3.585,2,5,1.195,1,2,2.39,1,4,0.196166666667,0.133333333333,0.25,0.0722200292398,0.00584795321637,0.144736842105,0.185,0.565,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,12,200,4.13,3,6,1.245,1,2,2.885,1,4,0.16625,0.125,0.208333333333,0.0561540309106,0.00526315789474,0.105263157895,0.14,0.35,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,16,200,5.11,4,6,1.42,1,2,3.69,2,5,0.118958333333,0.0833333333333,0.166666666667,0.0483715757927,0.0219298245614,0.105263157895,0.015,0.13,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,20,200,6.065,5,7,1.7,1,2,4.365,3,6,0.0650833333333,0.0416666666667,0.0833333333333,0.0278820734434,0.0123839009288,0.0427631578947,0.02,0.19,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,4,200,2.31,2,3,1,1,1,1.31,1,2,0.178333333334,0.166666666667,0.166666666667,0,0,0,0.07,0.62,中等
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,200,3,3,3,1,1,1,2,2,2,0,0,0,0,0,0,0,0,中等
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,4,200,3.165,2,4,0.73,0,1,2.435,1,4,0.557173913043,0.391304347826,0.695652173913,0.465955882353,0.235294117647,0.705882352941,0.05,0.135,简单
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,6,200,4.285,3,5,1.31,1,2,2.975,1,4,0.454275362319,0.326086956522,0.572463768116,0.357759803922,0.186274509804,0.529411764706,0.025,0.115,简单
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,8,200,5.13,4,6,1.895,1,3,3.235,2,5,0.38972826087,0.309782608696,0.483695652174,0.287231092437,0.164705882353,0.447058823529,0,0.095,简单
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,10,200,5.93,5,7,2.485,2,3,3.445,2,5,0.317043478261,0.247826086957,0.391304347826,0.223143557423,0.116911764706,0.352941176471,0.06,0.265,简单
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,12,200,6.645,5,8,3.015,2,4,3.63,2,5,0.261974637681,0.195652173913,0.31884057971,0.182742604618,0.104278074867,0.270588235294,0.04,0.22,简单
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,16,200,8.14,7,9,3.81,3,5,4.33,3,6,0.182269021739,0.141304347826,0.222826086957,0.129478412519,0.0723981900452,0.186274509804,0.015,0.07,简单
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,20,200,9.65,9,11,4.49,4,5,5.16,4,7,0.0984456521739,0.0782608695652,0.117391304348,0.079593837535,0.0477941176471,0.113445378151,0,0.04,简单
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,4,200,3.23,3,4,0.77,0,1,2.46,2,4,0.244583333333,0.166666666667,0.333333333333,0.166666666667,0,0.5,0.05,0.05,简单
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,6,200,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,简单
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,4,200,3.72,3,4,0.275,0,1,3.445,2,4,0.639791666667,0.541666666667,0.791666666667,0.532619047619,0.380952380952,0.857142857143,0,0.005,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,6,200,5.17,4,6,0.745,0,2,4.425,2,6,0.563958333333,0.5,0.625,0.427607142857,0.285714285714,0.571428571429,0,0.005,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,8,200,6.52,5,8,1.16,0,2,5.36,3,8,0.474375,0.416666666667,0.541666666667,0.348238095238,0.171428571429,0.464285714286,0,0,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,10,200,7.8,6,9,1.59,1,3,6.21,4,8,0.3995,0.341666666667,0.458333333333,0.267734126984,0.142857142857,0.428571428571,0,0.01,
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,12,200,9.05,8,10,1.965,1,3,7.085,5,9,0.31875,0.25,0.375,0.208541666667,0.107142857143,0.314285714286,0,0,
