worker_id,platform_worker_id,completion_status,admission_status,admission_decision,admission_reason,screening_recommendation,screening_reason,evidence_tier,r_u_0,r_u_0_source,manual_geometry_summary,scope_quality_summary,active_time_source_tier,fallback_watch,undercoverage_watch,duplicate_or_copy_risk,known_bad_flag,watch_flag,w_max,eligible_for_C1,c1_handoff_note
1,1,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.964069,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=1,correct_in_scope=46;false_positive=1;false_negative=2,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
2,2,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,1,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=0,correct_in_scope=47;false_positive=0;false_negative=0,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
6,6,complete,pass_with_watch,allow_with_watch,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.895022,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=43;false_positive=4;false_negative=6,active_log_primary,False,False,True,False,True,29,True,copy_audit_watch
7,7,dropout_no_future,fail,exclude,screening_exclude_process_risk,exclude_process_risk,completion_or_process_risk,process_risk,,not_applicable_excluded,,,mixed_or_partial_active_time,False,False,False,False,False,,False,excluded_from_C1
8,8,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.919228,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=1,correct_in_scope=47;false_positive=0;false_negative=7,mixed_or_partial_active_time,False,True,True,False,True,29,True,undercoverage_watch;duplicate_audit_watch
9,9,dropout_no_future,fail,exclude,screening_exclude_process_risk,exclude_process_risk,completion_or_process_risk,process_risk,,not_applicable_excluded,,,mixed_or_partial_active_time,False,False,False,False,False,,False,excluded_from_C1
10,10,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.922054,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=45;false_positive=2;false_negative=5,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
11,11,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.892206,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=3,correct_in_scope=40;false_positive=7;false_negative=2,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
12,12,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.883179,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=4,correct_in_scope=44;false_positive=3;false_negative=6,lead_time_fallback_sensitivity_only,True,True,False,False,True,29,True,fallback_watch;undercoverage_watch
13,13,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.87495,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=2,correct_in_scope=42;false_positive=5;false_negative=6,active_log_primary,False,True,True,False,True,29,True,undercoverage_watch;copy_audit_watch
14,14,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.898723,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=2,correct_in_scope=42;false_positive=5;false_negative=3,lead_time_fallback_sensitivity_only,True,True,False,False,True,29,True,fallback_watch;undercoverage_watch
15,15,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.931373,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=0,correct_in_scope=44;false_positive=3;false_negative=4,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
16,16,dropout_no_future,fail,exclude,screening_exclude_process_risk,exclude_process_risk,completion_or_process_risk,process_risk,,not_applicable_excluded,,,mixed_or_partial_active_time,False,False,False,False,False,,False,excluded_from_C1
17,17,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.904456,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=44;false_positive=3;false_negative=6,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
18,18,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.946604,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=1,correct_in_scope=47;false_positive=0;false_negative=5,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
19,19,known_bad_complete,fail,exclude,screening_exclude_process_risk,exclude_process_risk,completion_or_process_risk,process_risk,,not_applicable_excluded,,,active_log_primary,False,False,True,True,False,,False,excluded_from_C1
21,21,known_bad_complete,fail,exclude,screening_exclude_process_risk,exclude_process_risk,completion_or_process_risk,process_risk,,not_applicable_excluded,,,active_log_primary,False,False,True,True,False,,False,excluded_from_C1
26,26,incomplete_excluded,fail,exclude,screening_exclude_process_risk,exclude_process_risk,completion_or_process_risk,process_risk,,not_applicable_excluded,,,mixed_or_partial_active_time,False,False,False,True,False,,False,excluded_from_C1
27,27,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.989583,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=0,correct_in_scope=47;false_positive=0;false_negative=1,active_log_primary,False,False,False,False,False,29,True,standard_C1_entry
28,28,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.795008,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=2,correct_in_scope=34;false_positive=13;false_negative=5,active_log_primary,False,True,False,False,True,29,True,undercoverage_watch
29,29,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.717483,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=3,correct_in_scope=27;false_positive=20;false_negative=6,active_log_primary,False,True,False,False,True,29,True,undercoverage_watch
30,30,complete,pass,allow,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.649362,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=16;false_positive=31;false_negative=3,mixed_or_partial_active_time,False,False,False,False,False,29,True,standard_C1_entry
31,31,complete,pass_with_watch,allow_with_watch,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.914324,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=1,correct_in_scope=47;false_positive=0;false_negative=9,lead_time_fallback_sensitivity_only,True,False,False,False,True,29,True,fallback_watch
32,32,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.843404,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=1,correct_in_scope=37;false_positive=10;false_negative=3,active_log_primary,False,True,False,False,True,29,True,undercoverage_watch
33,33,complete,pass_with_watch,allow_with_watch,no_major_dry_run_risk,continue_candidate,no_major_dry_run_risk,review_only,0.853945,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=35;false_positive=12;false_negative=1,active_log_primary,False,False,True,False,True,29,True,copy_audit_watch
34,34,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.870007,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=1,correct_in_scope=44;false_positive=3;false_negative=10,lead_time_fallback_sensitivity_only,True,True,True,False,True,29,True,fallback_watch;undercoverage_watch;duplicate_audit_watch
35,35,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.837323,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=4;undercoverage_medium=3,correct_in_scope=38;false_positive=9;false_negative=1,lead_time_fallback_sensitivity_only,True,True,False,False,True,29,True,fallback_watch;undercoverage_watch
36,36,complete,pass_with_watch,allow_with_watch,manual_override_resolved_final_annotation_4595,continue_candidate,manual_override_resolved_final_annotation_4595,process_risk,0.914894,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=2;undercoverage_medium=0,correct_in_scope=41;false_positive=6;false_negative=0,mixed_or_partial_active_time,False,False,True,False,True,29,True,duplicate_audit_watch;manual_override_resolved_final_annotation_4595
37,37,complete,pass_with_watch,allow_with_watch,task_or_worker_undercoverage_watch,continue_candidate,task_or_worker_undercoverage_watch,geometry_risk,0.751227,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=47;undercoverage_high=1;undercoverage_medium=5,correct_in_scope=30;false_positive=17;false_negative=5,active_log_primary,False,True,False,False,True,29,True,undercoverage_watch
