split,criterion,threshold,eligible_count,selected_count,selected_fraction
test,layout_mask_difference_ge,0.05,458,266,0.58078603
test,layout_mask_difference_ge,0.1,458,142,0.31004367
test,layout_mask_difference_ge,0.2,458,49,0.1069869
test,layout_mask_difference_ge,0.3,458,18,0.03930131
test,boundary_rmse_px_ge,5.0,458,343,0.7489083
test,boundary_rmse_px_ge,10.0,458,217,0.47379913
test,boundary_rmse_px_ge,20.0,458,114,0.2489083
test,boundary_rmse_px_ge,40.0,458,46,0.10043668
test,layout_mask_difference_ge_or_topology_mismatch,0.05,458,287,0.62663755
test,layout_mask_difference_ge_or_topology_mismatch,0.1,458,213,0.4650655
test,layout_mask_difference_ge_or_topology_mismatch,0.2,458,182,0.39737991
test,layout_mask_difference_ge_or_topology_mismatch,0.3,458,177,0.38646288
test,topology_mismatch,,458,171,0.37336245
validation,layout_mask_difference_ge,0.05,188,32,0.17021277
validation,layout_mask_difference_ge,0.1,188,14,0.07446809
validation,layout_mask_difference_ge,0.2,188,4,0.0212766
validation,layout_mask_difference_ge,0.3,188,0,0.0
validation,boundary_rmse_px_ge,5.0,188,51,0.2712766
validation,boundary_rmse_px_ge,10.0,188,36,0.19148936
validation,boundary_rmse_px_ge,20.0,188,22,0.11702128
validation,boundary_rmse_px_ge,40.0,188,6,0.03191489
validation,layout_mask_difference_ge_or_topology_mismatch,0.05,188,44,0.23404255
validation,layout_mask_difference_ge_or_topology_mismatch,0.1,188,31,0.16489362
validation,layout_mask_difference_ge_or_topology_mismatch,0.2,188,27,0.14361702
validation,layout_mask_difference_ge_or_topology_mismatch,0.3,188,24,0.12765957
validation,topology_mismatch,,188,24,0.12765957
all,layout_mask_difference_ge,0.05,646,298,0.46130031
all,layout_mask_difference_ge,0.1,646,156,0.24148607
all,layout_mask_difference_ge,0.2,646,53,0.08204334
all,layout_mask_difference_ge,0.3,646,18,0.02786378
all,boundary_rmse_px_ge,5.0,646,394,0.60990712
all,boundary_rmse_px_ge,10.0,646,253,0.39164087
all,boundary_rmse_px_ge,20.0,646,136,0.21052632
all,boundary_rmse_px_ge,40.0,646,52,0.08049536
all,layout_mask_difference_ge_or_topology_mismatch,0.05,646,331,0.5123839
all,layout_mask_difference_ge_or_topology_mismatch,0.1,646,244,0.37770898
all,layout_mask_difference_ge_or_topology_mismatch,0.2,646,209,0.32352941
all,layout_mask_difference_ge_or_topology_mismatch,0.3,646,201,0.31114551
all,topology_mismatch,,646,195,0.30185759
