split,criterion,threshold,image_id,metric_value,topology_mismatch,pair_count_delta,image_path,model_path,gt_path
test,layout_mask_difference_ge,0.05,B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386,0.6653089,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,0.63937822,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598,0.59437188,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,0.49786439,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,0.44667955,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,0.42597407,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b,0.40664767,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,0.38835169,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,0.35858202,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge,0.05,B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8,0.35132937,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8.txt,D:/Work/HOHONET/export_label/groudTruth.json
