task_id,annotation_id,annotator_id,candidate_rank,candidate_pool_size,reliability_source,reliability_score,tier_rank,is_direct_log,risk_path,scene_path,used_scene_specific_reliability,selection_rule_trace,route_attribution_rule_version
480,80,4,3,3,global_lcb,0.6152098062295525,3,True,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
484,101,1,1,1,scene_specific_lcb,1.0,2,False,type4_guarded,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
485,102,1,1,1,global_lcb,1.0,3,False,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
487,104,1,1,1,scene_specific_lcb,1.0,2,False,type4_guarded,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
489,106,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
490,107,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
491,46,3,1,3,scene_specific_lcb,0.9734003431625438,3,True,m_tier,core_scene::occlusion|corner_drift,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
491,35,2,2,3,global_lcb,0.8911000493417016,2,True,type4_guarded,core_scene::occlusion|corner_drift,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
491,81,4,3,3,global_lcb,0.6152098062295525,2,True,type4_guarded,core_scene::occlusion|corner_drift,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
492,47,3,1,3,scene_specific_lcb,0.9734003431625438,2,True,type4_guarded,core_scene::occlusion|corner_drift,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
492,36,2,2,3,global_lcb,0.8911000493417016,2,True,type4_guarded,core_scene::occlusion|corner_drift,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
492,82,4,3,3,global_lcb,0.6152098062295525,2,True,type4_guarded,core_scene::occlusion|corner_drift,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
493,37,2,1,2,global_lcb,0.8911000493417016,1,True,type4_guarded,fallback::low_quality|corner_duplicate,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
493,48,3,2,2,global_lcb,0.6789689219448622,3,True,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
494,38,2,1,2,global_lcb,0.8911000493417016,2,True,type4_guarded,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
494,49,3,2,2,global_lcb,0.6789689219448622,3,True,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
495,39,2,1,2,global_lcb,0.8911000493417016,1,True,type4_guarded,fallback::oos::oos_split_level,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
495,50,3,2,2,global_lcb,0.6789689219448622,1,True,t_tier,fallback::oos::oos_split_level,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
496,63,2,1,2,global_lcb,0.8911000493417016,1,True,t_tier,fallback::oos::oos_split_level,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
496,51,3,2,2,global_lcb,0.6789689219448622,1,True,type4_guarded,fallback::oos::oos_split_level,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
499,66,2,1,3,global_lcb,0.8911000493417016,2,True,type4_guarded,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
499,54,3,2,3,global_lcb,0.6789689219448622,3,True,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
499,83,4,3,3,global_lcb,0.6152098062295525,3,True,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
501,68,2,1,3,global_lcb,0.8911000493417016,2,True,type4_guarded,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
501,56,3,2,3,global_lcb,0.6789689219448622,2,True,type4_guarded,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
501,85,4,3,3,global_lcb,0.6152098062295525,1,True,t_tier,fallback::low_texture|overextend_adjacent,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
502,57,3,1,3,scene_specific_lcb,0.9734003431625438,2,True,type4_guarded,core_scene::occlusion|corner_drift,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
502,69,2,2,3,global_lcb,0.8911000493417016,2,True,type4_system,core_scene::occlusion|corner_drift,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
502,86,4,3,3,global_lcb,0.6152098062295525,3,True,m_tier,core_scene::occlusion|corner_drift,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
503,58,3,1,2,scene_specific_lcb,0.9734003431625438,3,True,m_tier,core_scene::occlusion|corner_drift,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
503,70,2,2,2,global_lcb,0.8911000493417016,3,True,m_tier,core_scene::occlusion|corner_drift,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
505,72,2,1,2,global_lcb,0.8911000493417016,3,True,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
505,60,3,2,2,global_lcb,0.6789689219448622,3,True,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
506,73,2,1,2,global_lcb,0.8911000493417016,3,True,m_tier,core_scene::occlusion|acceptable,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
506,61,3,2,2,global_lcb,0.6789689219448622,2,True,type4_system,core_scene::occlusion|acceptable,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
509,109,1,1,1,global_lcb,1.0,1,False,t_tier,fallback::oos::oos_geometry,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
510,110,1,1,1,global_lcb,1.0,1,False,t_tier,fallback::oos::oos_geometry,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
513,113,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
515,115,1,1,1,global_lcb,1.0,3,False,m_tier,fallback::other,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
516,116,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
517,117,1,1,1,global_lcb,1.0,1,False,t_tier,fallback::oos::oos_geometry,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
519,119,1,1,1,global_lcb,1.0,1,False,t_tier,fallback::oos::oos_geometry,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
520,120,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
522,122,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
527,127,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
529,129,1,1,1,global_lcb,1.0,1,False,t_tier,fallback::oos::oos_geometry,False,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
530,130,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
531,131,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::occlusion|over_parsing,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
532,132,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::reflection|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
535,135,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::occlusion|over_parsing,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
536,136,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,core_scene::occlusion|acceptable,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
540,140,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::occlusion|over_parsing,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
541,141,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::occlusion|over_parsing,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
542,142,1,1,1,scene_specific_lcb,1.0,3,False,m_tier,fallback::occlusion|over_parsing,True,sort:reliability_score_desc>tier_rank_desc>is_direct_log_desc>annotator_id_asc,route_attribution_replayable_v2
