stage,worker_id_left,worker_id_right,shared_task_count,source_artifact,source_sha256
P1,12,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,12,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,12,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,12,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,12,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,14,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,15,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,17,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,18,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,19,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,13,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,13,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,15,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,17,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,18,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,19,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,14,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,14,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,15,17,57,post_block2_submission_master.csv,bound_after_materialization
P1,15,18,57,post_block2_submission_master.csv,bound_after_materialization
P1,15,19,57,post_block2_submission_master.csv,bound_after_materialization
P1,15,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,15,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,15,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,15,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,15,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,17,18,57,post_block2_submission_master.csv,bound_after_materialization
P1,17,19,57,post_block2_submission_master.csv,bound_after_materialization
P1,17,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,17,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,17,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,17,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,17,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,18,19,57,post_block2_submission_master.csv,bound_after_materialization
P1,18,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,18,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,18,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,18,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,18,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,19,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,19,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,19,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,19,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,19,8,57,post_block2_submission_master.csv,bound_after_materialization
