condition,main_included,responses,workers,images,valid_geometry,quality_evaluable,time_usable,n_pooled_image_targets,quality_images,time_images,geometry_dispersion_images
manual,False,59,2,30,30,30,0,,,,
manual,True,1634,24,187,1620,1514,1396,187,161,187,150
oos,False,18,2,9,10,0,0,,,,
oos,True,216,24,9,212,0,171,9,0,9,9
semi,False,36,2,18,36,36,0,,,,
semi,True,538,24,43,532,532,425,43,43,43,42
