analysis_kind,population_or_scenario,base_task_id,building_id,stage,reference_regime,k_total,n_A,n_B,available_population_n,available_A_n,available_B_n,sampling_method,samples_or_replicates,resolved_rate,supported_multimodal_rate,not_evaluable_rate,resolved_only_quality,delivery_adjusted_quality,pooled_full_output_recovery_rate,pooled_full_target_resolved,mechanical_population_full_roster_endpoint
subgroup_curve_exact,A_selective_corrector_u095,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,3,,,5,,,exact_all_worker_subsets_without_replacement,10,1.0,0.0,0.0,0.989569667,0.989569667,1.0,True,False
subgroup_curve_exact,A_selective_corrector_u095,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,4,,,5,,,exact_all_worker_subsets_without_replacement,5,1.0,0.0,0.0,0.989362894,0.989362894,1.0,True,False
subgroup_curve_exact,A_selective_corrector_u095,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,5,,,5,,,exact_all_worker_subsets_without_replacement,1,1.0,0.0,0.0,0.98889199,0.98889199,1.0,True,True
subgroup_curve_exact,B_non_A_comparison_pool,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,3,,,9,,,exact_all_worker_subsets_without_replacement,84,1.0,0.0,0.0,0.9737073240476191,0.9737073240476191,1.0,True,False
subgroup_curve_exact,B_non_A_comparison_pool,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,4,,,9,,,exact_all_worker_subsets_without_replacement,126,1.0,0.0,0.0,0.977206489920635,0.977206489920635,1.0,True,False
subgroup_curve_exact,B_non_A_comparison_pool,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,5,,,9,,,exact_all_worker_subsets_without_replacement,126,1.0,0.0,0.0,0.977286490952381,0.977286490952381,1.0,True,False
subgroup_curve_exact,B_non_A_comparison_pool,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,6,,,9,,,exact_all_worker_subsets_without_replacement,84,1.0,0.0,0.0,0.9796713802380953,0.9796713802380953,1.0,True,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,3,,,5,,,exact_all_worker_subsets_without_replacement,10,1.0,0.0,0.0,0.963201484,0.963201484,1.0,True,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,4,,,5,,,exact_all_worker_subsets_without_replacement,5,1.0,0.0,0.0,0.964042886,0.964042886,1.0,True,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,expert_hard_single_reference,5,,,5,,,exact_all_worker_subsets_without_replacement,1,1.0,0.0,0.0,0.96341182,0.96341182,1.0,True,True
subgroup_curve_exact,A_selective_corrector_u095,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,3,,,5,,,exact_all_worker_subsets_without_replacement,10,1.0,0.0,0.0,0.924506964,0.924506964,,False,False
subgroup_curve_exact,A_selective_corrector_u095,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,4,,,5,,,exact_all_worker_subsets_without_replacement,5,1.0,0.0,0.0,0.925904654,0.925904654,,False,False
subgroup_curve_exact,A_selective_corrector_u095,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,5,,,5,,,exact_all_worker_subsets_without_replacement,1,1.0,0.0,0.0,0.92311247,0.92311247,,False,True
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,3,,,10,,,exact_all_worker_subsets_without_replacement,120,0.85,0.0,0.15,0.8909396637254902,0.7572987141666667,,False,False
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,4,,,10,,,exact_all_worker_subsets_without_replacement,210,0.9142857142857143,0.0,0.08571428571428572,0.89999771828125,0.8228550567142857,,False,False
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,5,,,10,,,exact_all_worker_subsets_without_replacement,252,0.9761904761904762,0.0,0.023809523809523808,0.9041354221138211,0.8826083882539683,,False,False
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,6,,,10,,,exact_all_worker_subsets_without_replacement,210,1.0,0.0,0.0,0.9064605912380953,0.9064605912380953,,False,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,3,,,5,,,exact_all_worker_subsets_without_replacement,10,0.6,0.0,0.4,0.85806197,0.514837182,,False,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,4,,,5,,,exact_all_worker_subsets_without_replacement,5,0.6,0.0,0.4,0.8791377933333333,0.527482676,,False,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,expert_hard_single_reference,5,,,5,,,exact_all_worker_subsets_without_replacement,1,1.0,0.0,0.0,0.85172889,0.85172889,,False,True
subgroup_curve_exact,A_selective_corrector_u095,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,3,,,7,,,exact_all_worker_subsets_without_replacement,35,1.0,0.0,0.0,0.7819892702857143,0.7819892702857143,1.0,True,False
subgroup_curve_exact,A_selective_corrector_u095,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,4,,,7,,,exact_all_worker_subsets_without_replacement,35,1.0,0.0,0.0,0.77687816,0.77687816,1.0,True,False
subgroup_curve_exact,A_selective_corrector_u095,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,5,,,7,,,exact_all_worker_subsets_without_replacement,21,1.0,0.0,0.0,0.8058738357142857,0.8058738357142857,1.0,True,False
subgroup_curve_exact,A_selective_corrector_u095,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,6,,,7,,,exact_all_worker_subsets_without_replacement,7,1.0,0.0,0.0,0.7617876100000001,0.7617876100000001,1.0,True,False
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,3,,,8,,,exact_all_worker_subsets_without_replacement,56,1.0,0.0,0.0,0.7706472323214286,0.7706472323214286,1.0,True,False
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,4,,,8,,,exact_all_worker_subsets_without_replacement,70,1.0,0.0,0.0,0.7781718402857143,0.7781718402857143,1.0,True,False
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,5,,,8,,,exact_all_worker_subsets_without_replacement,56,1.0,0.0,0.0,0.7744752669642857,0.7744752669642857,1.0,True,False
subgroup_curve_exact,B_non_A_comparison_pool,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,6,,,8,,,exact_all_worker_subsets_without_replacement,28,1.0,0.0,0.0,0.7863442728571428,0.7863442728571428,1.0,True,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,3,,,4,,,exact_all_worker_subsets_without_replacement,4,1.0,0.0,0.0,0.77549935,0.77549935,1.0,True,False
subgroup_curve_exact,C_overmodifier_u095_sensitivity,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,expert_hard_single_reference,4,,,4,,,exact_all_worker_subsets_without_replacement,1,1.0,0.0,0.0,0.86373646,0.86373646,1.0,True,True
