analysis_kind,population_or_scenario,analysis_stratum,k_total,metric,estimate_task_equal,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,task_count,task_count_with_metric,building_count
mixture_extreme_contrast_exact,sensitivity_A_vs_C|4A2B_minus_2A4B,pooled_reference_sensitivity_41,6,resolved_only_quality,0.010053537747351144,0.00214909062501415,0.016165473689835216,41,41,11
mixture_extreme_contrast_exact,sensitivity_A_vs_C|4A2B_minus_2A4B,pooled_reference_sensitivity_41,6,delivery_adjusted_quality,0.03601100804226456,-0.00992398658476122,0.09224043330188911,41,41,11
mixture_extreme_contrast_exact,sensitivity_A_vs_C|4A2B_minus_2A4B,pooled_reference_sensitivity_41,6,pooled_full_output_recovery_rate,-0.0009259259259259288,-0.0023809523809523885,0.0,41,18,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,C1_primary_12,6,resolved_rate,0.632941518358185,0.46857124357124363,0.8465316107503613,12,12,5
mixture_k6_exact,primary_A_vs_non_A|2A+4B,C1_primary_12,6,supported_multimodal_rate,0.26886123136123136,0.11968644781144783,0.35596255596255594,12,12,5
mixture_k6_exact,primary_A_vs_non_A|2A+4B,C1_primary_12,6,resolved_only_quality,0.9194642442980253,0.8905413103190531,0.9721591038060788,12,12,5
mixture_k6_exact,primary_A_vs_non_A|2A+4B,C1_primary_12,6,delivery_adjusted_quality,0.5914481487244224,0.418425591527476,0.8308993307372045,12,12,5
mixture_k6_exact,primary_A_vs_non_A|2A+4B,C1_primary_12,6,pooled_full_output_recovery_rate,0.9993265993265993,0.9979797979797981,1.0,12,3,5
mixture_k6_exact,primary_A_vs_non_A|2A+4B,P1_reference_sensitivity_29,6,resolved_rate,0.8183200288126397,0.750840004562431,0.8911554949823585,29,29,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,P1_reference_sensitivity_29,6,supported_multimodal_rate,0.13616663941787094,0.06885218253968253,0.2117573565824798,29,29,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,P1_reference_sensitivity_29,6,resolved_only_quality,0.8978349326661563,0.8697166808369321,0.9222845014592883,29,29,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,P1_reference_sensitivity_29,6,delivery_adjusted_quality,0.7455204067502255,0.6778053225890744,0.8201999095845554,29,29,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,P1_reference_sensitivity_29,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,29,15,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,pooled_reference_sensitivity_41,6,resolved_rate,0.7640629038015797,0.7100718948226163,0.8420156964581568,41,41,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,pooled_reference_sensitivity_41,6,supported_multimodal_rate,0.1750040809622691,0.10861799213359459,0.22849032735193453,41,41,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,pooled_reference_sensitivity_41,6,resolved_only_quality,0.9041654628998741,0.8817702726807056,0.9200978591737342,41,41,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,pooled_reference_sensitivity_41,6,delivery_adjusted_quality,0.7004260873280392,0.6472212808249764,0.7754474635771301,41,41,11
mixture_k6_exact,primary_A_vs_non_A|2A+4B,pooled_reference_sensitivity_41,6,pooled_full_output_recovery_rate,0.9998877665544332,0.9997113997113997,1.0,41,18,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,C1_primary_12,6,resolved_rate,0.6606421356421356,0.5293795093795094,0.8894660894660894,12,12,5
mixture_k6_exact,primary_A_vs_non_A|3A+3B,C1_primary_12,6,supported_multimodal_rate,0.2673611111111111,0.09627525252525253,0.3529040404040404,12,12,5
mixture_k6_exact,primary_A_vs_non_A|3A+3B,C1_primary_12,6,resolved_only_quality,0.9270946866629944,0.8945224535562607,0.9755966184116672,12,12,5
mixture_k6_exact,primary_A_vs_non_A|3A+3B,C1_primary_12,6,delivery_adjusted_quality,0.6224354455539962,0.4806214076034081,0.8694299814472692,12,12,5
mixture_k6_exact,primary_A_vs_non_A|3A+3B,C1_primary_12,6,pooled_full_output_recovery_rate,0.9979076479076479,0.9937229437229437,1.0,12,3,5
mixture_k6_exact,primary_A_vs_non_A|3A+3B,P1_reference_sensitivity_29,6,resolved_rate,0.8242609238052587,0.7630939353659378,0.8979301623269258,29,29,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,P1_reference_sensitivity_29,6,supported_multimodal_rate,0.1311355106305845,0.06505453268263826,0.1990449201839827,29,29,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,P1_reference_sensitivity_29,6,resolved_only_quality,0.9007111885013248,0.872331492307271,0.925568523424267,29,29,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,P1_reference_sensitivity_29,6,delivery_adjusted_quality,0.7521870151598189,0.6909600217593661,0.8249162089928497,29,29,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,P1_reference_sensitivity_29,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,29,15,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,pooled_reference_sensitivity_41,6,resolved_rate,0.7763724980014178,0.7189692339254214,0.8586006936479509,41,41,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,pooled_reference_sensitivity_41,6,supported_multimodal_rate,0.1710064180882996,0.09269690649601366,0.23527045218339865,41,41,11
mixture_k6_exact,primary_A_vs_non_A|3A+3B,pooled_reference_sensitivity_41,6,resolved_only_quality,0.9084331879632769,0.8868053709513358,0.9238995179749896,41,41,11
