cohort,condition,n_duration_records,images,mean_seconds,median_seconds,p25,p75,p90,image_equal_mean_seconds,role
all_historical,included_unassisted,1599,196,233.190118824,138,64,259.5,497,212.981071727,saved_owner_complete_active_time_not_newcomer_guarantee
all_historical,semi,443,43,166.81489842,93,43,206,367.4,175.890697674,saved_owner_complete_active_time_not_newcomer_guarantee
current20,included_unassisted,1390,196,237.44028777,145,70,263.75,497,213.024590779,saved_owner_complete_active_time_not_newcomer_guarantee
current20,semi,362,43,156.729281768,98,48.25,203.5,349.5,141.823352713,saved_owner_complete_active_time_not_newcomer_guarantee
