plan,initial_workers,extra_workers,main_target_images,boundary_images,multiview_images,calibration_images_per_person,total_geometry_actions,per_initial_worker_actions,assumed_minutes_per_action,annotation_hours,onboarding_hours,total_scenario_hours_excluding_expert_admin_fees,rate_not_provided,not_power_justified_sample_size
A_core5,20,0,5,0,0,6,220,11,3,11,10,21,True,True
A_core5,20,0,5,0,0,6,220,11,5,18.3333333333,10,28.3333333333,True,True
A_core5,20,0,5,0,0,6,220,11,8,29.3333333333,10,39.3333333333,True,True
B_core_and_challenge9,20,0,9,0,0,6,300,15,3,15,10,25,True,True
B_core_and_challenge9,20,0,9,0,0,6,300,15,5,25,10,35,True,True
B_core_and_challenge9,20,0,9,0,0,6,300,15,8,40,10,50,True,True
C_main9_plus_boundary,20,0,9,4,0,6,380,19,3,19,10,29,True,True
C_main9_plus_boundary,20,0,9,4,0,6,380,19,5,31.6666666667,10,41.6666666667,True,True
C_main9_plus_boundary,20,0,9,4,0,6,380,19,8,50.6666666667,10,60.6666666667,True,True
D_add_three_view_room,20,0,9,4,3,6,440,22,3,22,10,32,True,True
D_add_three_view_room,20,0,9,4,3,6,440,22,5,36.6666666667,10,46.6666666667,True,True
D_add_three_view_room,20,0,9,4,3,6,440,22,8,58.6666666667,10,68.6666666667,True,True
C_plus_k20_tail4,20,5,9,4,0,6,430,19,3,21.5,12.5,34,True,True
C_plus_k20_tail4,20,5,9,4,0,6,430,19,5,35.8333333333,12.5,48.3333333333,True,True
C_plus_k20_tail4,20,5,9,4,0,6,430,19,8,57.3333333333,12.5,69.8333333333,True,True
