group_code,image_a,image_b,number_a,number_b,n_a,n_b,n_common_workers,common_worker_ids,full_count_disagreement_a,full_count_disagreement_b,common_worker_count_disagreement_a,common_worker_count_disagreement_b,counts_a_json,counts_b_json,interpretation
G036,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,33,37,25,6,6,13;14;28;29;34;35,0.156666666667,0.333333333333,0,0.333333333333,"{""1"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8, ""14"": 8, ""15"": 8, ""17"": 8, ""18"": 8, ""19"": 8, ""2"": 8, ""21"": 8, ""27"": 8, ""28"": 8, ""29"": 8, ""30"": 8, ""31"": 8, ""32"": 9, ""33"": 8, ""34"": 8, ""35"": 8, ""36"": 8, ""37"": 6, ""6"": 8, ""8"": 8}","{""13"": 8, ""14"": 8, ""28"": 8, ""29"": 8, ""34"": 10, ""35"": 8}",endpoint_count_only_not_topology_or_convergence
G057,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,4,7,7,19,7,10;17;30;31;32;33;34,0.666666666667,0.719298245614,0.666666666667,0.857142857143,"{""32"": 18, ""33"": 8, ""34"": 12, ""17"": 8, ""30"": 8, ""10"": 8, ""31"": 18}","{""1"": 20, ""10"": 24, ""11"": 24, ""12"": 24, ""13"": 24, ""15"": 24, ""17"": 24, ""2"": 24, ""29"": 8, ""30"": 12, ""31"": 20, ""32"": 24, ""33"": 8, ""34"": 10, ""35"": 8, ""36"": 24, ""37"": 12, ""6"": 8, ""8"": 8}",endpoint_count_only_not_topology_or_convergence
G057,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,4,10,7,5,2,30;31,0.666666666667,0.9,1,1,"{""32"": 18, ""33"": 8, ""34"": 12, ""17"": 8, ""30"": 8, ""10"": 8, ""31"": 18}","{""30"": 8, ""31"": 12, ""35"": 8, ""11"": 26, ""37"": 14}",endpoint_count_only_not_topology_or_convergence
G057,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,7,10,19,5,5,11;30;31;35;37,0.719298245614,0.9,0.9,0.9,"{""1"": 20, ""10"": 24, ""11"": 24, ""12"": 24, ""13"": 24, ""15"": 24, ""17"": 24, ""2"": 24, ""29"": 8, ""30"": 12, ""31"": 20, ""32"": 24, ""33"": 8, ""34"": 10, ""35"": 8, ""36"": 24, ""37"": 12, ""6"": 8, ""8"": 8}","{""30"": 8, ""31"": 12, ""35"": 8, ""11"": 26, ""37"": 14}",endpoint_count_only_not_topology_or_convergence
G202,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,26,53,6,23,6,13;14;28;29;34;35,0.866666666667,0.810276679842,0.866666666667,0.866666666667,"{""13"": 20, ""14"": 20, ""28"": 12, ""29"": 12, ""34"": 10, ""35"": 16}","{""1"": 14, ""10"": 8, ""11"": 8, ""12"": 12, ""13"": 12, ""14"": 8, ""15"": 8, ""17"": 16, ""18"": 8, ""2"": 16, ""27"": 8, ""28"": 12, ""29"": 8, ""30"": 10, ""31"": 14, ""32"": 10, ""33"": 14, ""34"": 10, ""35"": 14, ""36"": 10, ""37"": 10, ""6"": 12, ""8"": 12}",endpoint_count_only_not_topology_or_convergence
G205,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,3,54,5,5,3,31;32;33,0.4,0,0,0,"{""31"": 8, ""32"": 8, ""33"": 8, ""34"": 8, ""37"": 12}","{""17"": 8, ""31"": 8, ""32"": 8, ""33"": 8, ""8"": 8}",endpoint_count_only_not_topology_or_convergence
