group_code,image_id,building_id,mode,config,horizon,kind,possible,conservative,identified,status,unknown_node_fraction,stable_k8_lower,stable_k8_upper,role
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,with_workers,ospa30_t6,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,with_workers,ospa30_t6,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,with_workers,q_0.950,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,with_workers,q_0.950,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,without_workers,ospa30_t6,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,without_workers,ospa30_t6,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,without_workers,q_0.950,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G047,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,without_workers,q_0.950,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,with_workers,ospa30_t6,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,with_workers,ospa30_t6,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,with_workers,ospa30_t6,24,anchor_stage,2,2,2,identified,0.0526315789474,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,with_workers,q_0.950,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,with_workers,q_0.950,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,with_workers,q_0.950,24,anchor_stage,2,2,2,identified,0.0526315789474,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,without_workers,ospa30_t6,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,without_workers,ospa30_t6,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,without_workers,ospa30_t6,24,anchor_stage,2,2,2,identified,0.0526315789474,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,without_workers,q_0.950,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,without_workers,q_0.950,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G207,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,without_workers,q_0.950,24,anchor_stage,2,2,2,identified,0.0526315789474,1,1,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,with_workers,ospa30_t6,19,anchor_stage,7,7,7,identified,0.0482142857143,0.98,0.98,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,with_workers,ospa30_t6,20,anchor_stage,7,7,7,identified,0.045,0.98,0.98,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,with_workers,ospa30_t6,24,anchor_stage,8,8,8,identified,0.0355263157895,0.98,0.98,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,with_workers,q_0.950,19,anchor_stage,7,7,7,identified,0.0482142857143,0.98,0.98,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,with_workers,q_0.950,20,anchor_stage,7,7,7,identified,0.045,0.98,0.98,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,with_workers,q_0.950,24,anchor_stage,8,8,8,identified,0.0355263157895,0.98,0.98,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,without_workers,ospa30_t6,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,without_workers,ospa30_t6,20,anchor_stage,2,2,2,identified,0.0666666666667,1,1,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,without_workers,ospa30_t6,24,anchor_stage,2,2,2,identified,0.0526315789474,1,1,observed_source_not_new_target_validation
G237,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,without_workers,q_0.950,19,anchor_stage,2,2,2,identified,0.0714285714286,1,1,observed_source_not_new_target_validation
