assumed_independent_mode_probability,N,probability_at_least_one,probability_at_least_two,role
0.05,10,0.401263060762,0.0861383558993,iid_assumption_not_empirical_power
0.05,15,0.53670876984,0.170952535504,iid_assumption_not_empirical_power
0.05,20,0.641514077591,0.264160475056,iid_assumption_not_empirical_power
0.05,25,0.722610426878,0.357624146455,iid_assumption_not_empirical_power
0.05,30,0.785361236057,0.446457924568,iid_assumption_not_empirical_power
0.1,10,0.6513215599,0.2639010709,iid_assumption_not_empirical_power
0.1,15,0.794108867905,0.450956981081,iid_assumption_not_empirical_power
0.1,20,0.878423345409,0.608253001875,iid_assumption_not_empirical_power
0.1,25,0.928210201231,0.728794093539,iid_assumption_not_empirical_power
0.1,30,0.957608841725,0.816304980807,iid_assumption_not_empirical_power
0.2,10,0.8926258176,0.6241903616,iid_assumption_not_empirical_power
0.2,15,0.964815627911,0.832874232578,iid_assumption_not_empirical_power
0.2,20,0.988470784954,0.930824709724,iid_assumption_not_empirical_power
0.2,25,0.996222106814,0.972610274399,iid_assumption_not_empirical_power
0.2,30,0.998762059961,0.989477509666,iid_assumption_not_empirical_power
