feature,condition,cut,target,fold_id,image_id,building,horizon,algorithm,truth,prediction,absolute_error,n_train,n_test,selected_pca,selected_parameter,scene_fallback,feature_reported,cut_reported,fold_id_reported,building_reported,horizon_reported,truth_reported,prediction_reported,absolute_error_reported,n_train_reported,n_test_reported,selected_pca_reported,selected_parameter_reported,scene_fallback_reported
scene,manual,0.1,stable_multimode_G10,building:jtcxE69GiFV,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV,4,knn,0.0,0.18,0.18,40,2,16.0,3.0,,scene,0.1,building:jtcxE69GiFV,jtcxE69GiFV,4,0.0,0.108,0.108,40,2,,5.0,
scene,manual,0.1,late_novel_geometry_rate,building:zsNo4HB9uLZ,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,zsNo4HB9uLZ,4,knn,0.225,0.252,0.027,130,3,,5.0,,scene,0.1,building:zsNo4HB9uLZ,zsNo4HB9uLZ,4,0.225,0.178,0.047,130,3,,5.0,
scene,manual,0.1,late_support_promotions_rate,building:zsNo4HB9uLZ,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,zsNo4HB9uLZ,4,knn,0.275,0.206666666667,0.0683333333334,130,3,,3.0,,scene,0.1,building:zsNo4HB9uLZ,zsNo4HB9uLZ,4,0.275,0.363333333333,0.0883333333333,130,3,,3.0,
scene,manual,0.1,half_TV,building:zsNo4HB9uLZ,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,zsNo4HB9uLZ,4,knn,0.25,0.202866666667,0.0471333333334,130,3,,5.0,,scene,0.1,building:zsNo4HB9uLZ,zsNo4HB9uLZ,4,0.25,0.177533333333,0.0724666666666,130,3,,5.0,
scene,manual,0.1,half_future_uncovered,building:zsNo4HB9uLZ,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,zsNo4HB9uLZ,4,knn,0.775,0.523833333333,0.251166666667,130,3,,5.0,,scene,0.1,building:zsNo4HB9uLZ,zsNo4HB9uLZ,4,0.775,0.565,0.21,130,3,,5.0,
scene,semi,0.1,stable_P,building:e9zR4mvMWw7,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,24,knn,0.66,0.793333333333,0.133333333333,12,4,16.0,3.0,,scene,0.1,building:e9zR4mvMWw7,e9zR4mvMWw7,24,0.66,0.883333333333,0.223333333333,12,4,16.0,3.0,
scene,semi,0.1,stable_D10,building:e9zR4mvMWw7,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,24,knn,0.66,0.793333333333,0.133333333333,12,4,16.0,3.0,,scene,0.1,building:e9zR4mvMWw7,e9zR4mvMWw7,24,0.66,0.883333333333,0.223333333333,12,4,16.0,3.0,
scene,semi,0.1,stable_multimode_G10,building:e9zR4mvMWw7,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,e9zR4mvMWw7,24,knn,0.8,0.23,0.57,12,4,16.0,5.0,,scene,0.1,building:e9zR4mvMWw7,e9zR4mvMWw7,24,0.8,0.126666666667,0.673333333333,12,4,16.0,3.0,
scene,semi,0.1,stable_multimode_G10,building:e9zR4mvMWw7,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,24,knn,0.79,0.23,0.56,12,4,16.0,5.0,,scene,0.1,building:e9zR4mvMWw7,e9zR4mvMWw7,24,0.79,0.126666666667,0.663333333333,12,4,16.0,3.0,
scene,semi,0.1,stable_multimode_G10,building:e9zR4mvMWw7,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,24,knn,0.66,0.21,0.45,12,4,16.0,5.0,,scene,0.1,building:e9zR4mvMWw7,e9zR4mvMWw7,24,0.66,0.256666666667,0.403333333333,12,4,16.0,3.0,
