image_id,building,condition,cut,scene,replay,rule,state,onset,tail_first_k,late_new_geometry,late_support_promotions,tail_max_TV
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,40,G10_geometry,current_changes,22.0,21,1,0,0.0595238095238
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,43,G10_geometry,current_changes,22.0,21,0,1,0.0654761904762
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,44,G10_geometry,current_changes,23.0,21,0,1,0.0654761904762
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,50,G10_geometry,current_changes,22.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,51,G10_geometry,current_changes,22.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,52,G10_geometry,current_changes,23.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,58,G10_geometry,current_changes,23.0,21,1,1,0.077380952381
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,59,G10_geometry,current_changes,22.0,21,1,0,0.0714285714286
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,61,G10_geometry,current_changes,23.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,62,G10_geometry,current_changes,22.0,21,0,1,0.0535714285714
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,63,G10_geometry,current_changes,23.0,21,0,1,0.0654761904762
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,64,G10_geometry,current_changes,23.0,21,1,1,0.107142857143
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,68,G10_geometry,current_changes,23.0,21,1,1,0.113095238095
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,工作与学习,69,G10_geometry,current_changes,22.0,21,0,1,0.0654761904762
