annotator_id,language,completion_status,n_correct_in_scope,n_correct_oos,n_scope_false_positive,n_scope_false_negative,n_unknown_or_missing,n_not_applicable_unresolved,scope_accuracy_on_adjudicated_tasks
2,zh,pending_completion,9,0,0,0,0,0,1.0
6,zh,complete,38,4,4,5,0,6,0.823529
8,zh,complete,42,3,0,6,0,6,0.882353
10,zh,complete,40,5,2,4,0,6,0.882353
11,zh,complete,34,7,8,2,0,6,0.803922
12,zh,complete,39,4,3,5,0,6,0.843137
13,zh,complete,37,4,5,5,0,6,0.803922
14,zh,complete,37,7,5,2,0,6,0.862745
15,zh,complete,39,6,3,3,0,6,0.882353
17,zh,complete,39,4,3,5,0,6,0.843137
18,zh,pending_completion,12,4,0,5,0,6,0.761905
19,zh,known_bad_complete,39,8,3,1,0,6,0.921569
21,zh,complete,37,6,5,3,0,6,0.843137
26,en,incomplete_excluded,21,2,20,7,0,6,0.46
27,en,complete,42,9,0,0,0,6,1.0
28,en,complete,30,4,12,5,0,6,0.666667
29,en,complete,24,3,18,6,0,6,0.529412
30,en,complete,11,6,31,3,0,6,0.333333
31,en,complete,42,1,0,8,0,6,0.843137
32,en,complete,32,6,10,3,0,6,0.745098
33,en,complete,29,8,13,1,0,6,0.72549
34,en,complete,40,0,2,9,0,6,0.784314
35,en,complete,32,8,10,1,0,6,0.784314
36,en,complete,36,9,6,0,0,6,0.882353
37,en,complete,26,4,16,5,0,6,0.588235
