annotator_id,language,condition,completion_status,eligible_for_primary_prescreen_candidate,n_rows,n_log,n_lead_time_fallback,n_missing,log_coverage_rate,fallback_rate,primary_active_time_eligible_count,sensitivity_active_time_eligible_count
10,zh,manual,complete,True,30,30,0,0,1.0,0.0,30,30
10,zh,oos,complete,True,9,9,0,0,1.0,0.0,9,9
10,zh,semi,complete,True,18,18,0,0,1.0,0.0,18,18
11,zh,manual,dropout_no_future,False,30,30,0,0,1.0,0.0,30,30
11,zh,oos,dropout_no_future,False,9,9,0,0,1.0,0.0,9,9
11,zh,semi,dropout_no_future,False,18,18,0,0,1.0,0.0,18,18
12,zh,manual,complete,True,30,0,30,0,0.0,1.0,0,30
12,zh,oos,complete,True,9,0,9,0,0.0,1.0,0,9
12,zh,semi,complete,True,18,0,18,0,0.0,1.0,0,18
13,zh,manual,complete,True,30,30,0,0,1.0,0.0,30,30
13,zh,oos,complete,True,9,9,0,0,1.0,0.0,9,9
13,zh,semi,complete,True,18,18,0,0,1.0,0.0,18,18
14,zh,manual,complete,True,30,0,30,0,0.0,1.0,0,30
14,zh,oos,complete,True,9,0,9,0,0.0,1.0,0,9
14,zh,semi,complete,True,18,0,18,0,0.0,1.0,0,18
15,zh,manual,complete,True,30,30,0,0,1.0,0.0,30,30
15,zh,oos,complete,True,9,9,0,0,1.0,0.0,9,9
15,zh,semi,complete,True,18,18,0,0,1.0,0.0,18,18
17,zh,manual,complete,True,30,30,0,0,1.0,0.0,30,30
17,zh,oos,complete,True,9,9,0,0,1.0,0.0,9,9
17,zh,semi,complete,True,18,18,0,0,1.0,0.0,18,18
18,zh,oos,pending_completion,False,9,9,0,0,1.0,0.0,9,9
18,zh,semi,pending_completion,False,18,18,0,0,1.0,0.0,18,18
19,zh,manual,known_bad_complete,False,30,0,30,0,0.0,1.0,0,30
19,zh,oos,known_bad_complete,False,9,0,9,0,0.0,1.0,0,9
19,zh,semi,known_bad_complete,False,18,0,18,0,0.0,1.0,0,18
2,zh,manual,pending_completion,False,2,2,0,0,1.0,0.0,2,2
2,zh,semi,pending_completion,False,7,7,0,0,1.0,0.0,7,7
21,zh,manual,complete,True,30,30,0,0,1.0,0.0,30,30
21,zh,oos,complete,True,9,9,0,0,1.0,0.0,9,9
21,zh,semi,complete,True,18,18,0,0,1.0,0.0,18,18
26,unknown,manual,unknown_roster,False,29,0,29,0,0.0,1.0,0,29
26,unknown,oos,unknown_roster,False,9,0,9,0,0.0,1.0,0,9
26,unknown,semi,unknown_roster,False,18,0,18,0,0.0,1.0,0,18
27,en,manual,complete,True,30,30,0,0,1.0,0.0,30,30
27,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
27,en,semi,complete,True,18,18,0,0,1.0,0.0,18,18
28,en,manual,complete,True,30,30,0,0,1.0,0.0,30,30
28,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
28,en,semi,complete,True,18,18,0,0,1.0,0.0,18,18
29,en,manual,complete,True,30,30,0,0,1.0,0.0,30,30
29,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
29,en,semi,complete,True,18,18,0,0,1.0,0.0,18,18
30,en,manual,complete,True,30,30,0,0,1.0,0.0,30,30
30,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
30,en,semi,complete,True,18,8,10,0,0.444444,0.555556,8,18
31,en,manual,complete,True,30,0,30,0,0.0,1.0,0,30
31,en,oos,complete,True,9,0,9,0,0.0,1.0,0,9
31,en,semi,complete,True,18,0,18,0,0.0,1.0,0,18
32,en,manual,complete,True,30,30,0,0,1.0,0.0,30,30
32,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
32,en,semi,complete,True,18,18,0,0,1.0,0.0,18,18
33,en,manual,complete,True,30,30,0,0,1.0,0.0,30,30
33,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
33,en,semi,complete,True,18,18,0,0,1.0,0.0,18,18
34,en,manual,complete,True,30,0,30,0,0.0,1.0,0,30
34,en,oos,complete,True,9,0,9,0,0.0,1.0,0,9
34,en,semi,complete,True,18,0,18,0,0.0,1.0,0,18
35,en,manual,complete,True,30,0,30,0,0.0,1.0,0,30
35,en,oos,complete,True,9,0,9,0,0.0,1.0,0,9
35,en,semi,complete,True,18,0,18,0,0.0,1.0,0,18
36,en,manual,complete,True,30,9,21,0,0.3,0.7,9,30
36,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
36,en,semi,complete,True,18,0,18,0,0.0,1.0,0,18
37,en,manual,complete,True,30,30,0,0,1.0,0.0,30,30
37,en,oos,complete,True,9,9,0,0,1.0,0.0,9,9
37,en,semi,complete,True,18,18,0,0,1.0,0.0,18,18
6,zh,manual,complete,True,30,30,0,0,1.0,0.0,30,30
6,zh,oos,complete,True,9,9,0,0,1.0,0.0,9,9
6,zh,semi,complete,True,18,18,0,0,1.0,0.0,18,18
8,zh,manual,complete,True,30,30,0,0,1.0,0.0,30,30
8,zh,oos,complete,True,9,9,0,0,1.0,0.0,9,9
8,zh,semi,complete,True,18,18,0,0,1.0,0.0,18,18
