worker_id,platform_worker_id,completion_status,admission_status,admission_reason,screening_recommendation,screening_reason,evidence_tier,r_u_0,r_u_0_source,manual_geometry_summary,scope_gate_accuracy,semi_trap_detection_rate,blind_trust_flag,active_time_valid_rate,active_time_median,active_time_fallback_policy,meta_label_violation_rate,known_bad_flag,watch_flag,eligible_for_C1,manual_review_decision,manual_review_notes
18,18,complete,pass,screening_continue_candidate_manual_audit_confirmed,continue_candidate,no_major_dry_run_risk,review_only,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=29;alignment_available=48;undercoverage_high=0;undercoverage_medium=0,0.886792,,watch,1,,active_log_primary,,false,false,true,allow,
19,19,known_bad_complete,fail,known_bad_or_process_risk_excluded,exclude_process_risk,completion_or_process_risk,process_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=0;alignment_available=48;undercoverage_high=8;undercoverage_medium=6,0.918367,,watch,1,,active_log_primary,,true,false,false,exclude,manual_code_review_exclude_confirmed
21,21,known_bad_complete,fail,manual_process_exclusion_copy_paste,exclude_process_risk,completion_or_process_risk,process_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=0;alignment_available=48;undercoverage_high=2;undercoverage_medium=0,0.843137,,watch,1,,active_log_primary,,true,false,false,exclude,manual_exclude_confirmed_copy_paste
26,26,incomplete_excluded,fail,known_bad_or_process_risk_excluded,exclude_process_risk,completion_or_process_risk,process_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=0;alignment_available=22;undercoverage_high=1;undercoverage_medium=1,0.444444,,watch,0,,active_log_primary,,true,false,false,exclude,manual_code_review_exclude_confirmed
27,27,complete,pass,screening_continue_candidate_manual_audit_confirmed,continue_candidate,protected_full_room_candidate,protected_full_room,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=30;alignment_available=48;undercoverage_high=0;undercoverage_medium=0,1.000000,,watch,1,,active_log_primary,,false,false,true,allow,
28,28,complete,pass_with_watch,manual_review_allowed_high_undercoverage_review,manual_review,high_undercoverage_review,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=22;alignment_available=48;undercoverage_high=3;undercoverage_medium=2,0.641509,,watch,1,,active_log_primary,,false,true,true,allow_with_watch,
29,29,complete,pass_with_watch,manual_review_allowed_high_undercoverage_review,manual_review,high_undercoverage_review,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=13;alignment_available=48;undercoverage_high=3;undercoverage_medium=3,0.500000,,watch,1,,active_log_primary,,false,true,true,allow_with_watch,
30,30,complete,pass,screening_continue_candidate_manual_audit_confirmed,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=6;alignment_available=48;undercoverage_high=1;undercoverage_medium=3,0.313725,,watch,0.824561,,active_log_primary,,false,true,true,allow,
31,31,complete,pass_with_watch,manual_review_allowed_high_undercoverage_review,manual_review,high_undercoverage_review,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=30;alignment_available=48;undercoverage_high=2;undercoverage_medium=2,0.857143,,watch,0,,manual_allow_lead_time_fallback_for_31; active_log_primary_unavailable,,false,true,true,allow_with_watch,active_time_log_coverage_zero_or_missing;manual_allow_lead_time_fallback_for_worker_31
32,32,complete,pass_with_watch,manual_review_allowed_high_undercoverage_review,manual_review,high_undercoverage_review,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=22;alignment_available=48;undercoverage_high=3;undercoverage_medium=2,0.725490,,watch,1,,active_log_primary,,false,true,true,allow_with_watch,
33,33,complete,pass,screening_continue_candidate_manual_audit_confirmed,continue_candidate,protected_full_room_candidate,protected_full_room,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=22;alignment_available=48;undercoverage_high=0;undercoverage_medium=3,0.714286,,watch,1,,active_log_primary,,false,false,true,allow,
34,34,complete,pass,screening_continue_candidate_manual_audit_confirmed,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=28;alignment_available=48;undercoverage_high=1;undercoverage_medium=3,0.789474,,watch,0,,lead_time_fallback_audit_only,,false,true,true,allow,active_time_log_coverage_zero_or_missing
35,35,complete,pass_with_watch,manual_review_allowed_high_undercoverage_review,manual_review,high_undercoverage_review,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=21;alignment_available=48;undercoverage_high=5;undercoverage_medium=4,0.775510,,watch,0,,lead_time_fallback_audit_only,,false,true,true,allow_with_watch,active_time_log_coverage_zero_or_missing
36,36,complete,pass_with_watch,manual_review_allowed_duplicate_revision_manual_review,manual_review,duplicate_revision_manual_review,process_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=24;alignment_available=48;undercoverage_high=2;undercoverage_medium=0,0.854167,,watch,1,,active_log_primary,,false,true,true,allow_with_watch,revision_duplicate_process_risk_reviewed_for_C1_watch
37,37,complete,pass_with_watch,manual_review_allowed_high_undercoverage_review,manual_review,high_undercoverage_review,geometry_risk,,not_materialized_by_current_prescreen_chain,manual_anchor_eligible=19;alignment_available=48;undercoverage_high=3;undercoverage_medium=6,0.566038,,watch,1,,active_log_primary,,false,true,true,allow_with_watch,
