worker_id,screening_recommendation,screening_reason,evidence_tier,manual_decision,decision_reason,eligible_for_C1,notes
1,continue_candidate,no_major_dry_run_risk,review_only,allow,screening_continue_candidate_manual_audit_confirmed,true,
2,continue_candidate,no_major_dry_run_risk,review_only,allow,screening_continue_candidate_manual_audit_confirmed,true,
6,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,
7,exclude_process_risk,completion_or_process_risk,process_risk,exclude,dropout_or_incomplete_excluded,false,
8,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,allow,screening_continue_candidate_manual_audit_confirmed,true,
9,exclude_process_risk,completion_or_process_risk,process_risk,exclude,dropout_or_incomplete_excluded,false,
10,continue_candidate,protected_full_room_candidate,protected_full_room,allow,screening_continue_candidate_manual_audit_confirmed,true,
11,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,allow,screening_continue_candidate_manual_audit_confirmed,true,
12,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,active_time_log_coverage_zero_or_missing
13,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,
14,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,active_time_log_coverage_zero_or_missing
15,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,allow,screening_continue_candidate_manual_audit_confirmed,true,
16,exclude_process_risk,completion_or_process_risk,process_risk,exclude,dropout_or_incomplete_excluded,false,
17,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,allow,screening_continue_candidate_manual_audit_confirmed,true,
18,continue_candidate,no_major_dry_run_risk,review_only,allow,screening_continue_candidate_manual_audit_confirmed,true,
19,exclude_process_risk,completion_or_process_risk,process_risk,exclude,known_bad_or_process_risk_excluded,false,manual_code_review_exclude_confirmed
21,exclude_process_risk,completion_or_process_risk,process_risk,exclude,manual_process_exclusion_copy_paste,false,manual_exclude_confirmed_copy_paste
26,exclude_process_risk,completion_or_process_risk,process_risk,exclude,known_bad_or_process_risk_excluded,false,manual_code_review_exclude_confirmed
27,continue_candidate,protected_full_room_candidate,protected_full_room,allow,screening_continue_candidate_manual_audit_confirmed,true,
28,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,
29,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,
30,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,allow,screening_continue_candidate_manual_audit_confirmed,true,
31,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,active_time_log_coverage_zero_or_missing;manual_allow_lead_time_fallback_for_worker_31
32,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,
33,continue_candidate,protected_full_room_candidate,protected_full_room,allow,screening_continue_candidate_manual_audit_confirmed,true,
34,continue_candidate,warning_manual_review_candidate_single_high_undercoverage,geometry_risk,allow,screening_continue_candidate_manual_audit_confirmed,true,active_time_log_coverage_zero_or_missing
35,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,active_time_log_coverage_zero_or_missing
36,manual_review,duplicate_revision_manual_review,process_risk,allow_with_watch,manual_review_allowed_duplicate_revision_manual_review,true,revision_duplicate_process_risk_reviewed_for_C1_watch
37,manual_review,high_undercoverage_review,geometry_risk,allow_with_watch,manual_review_allowed_high_undercoverage_review,true,
