schema_version,active_session_id,raw_source_collections,raw_event_stages,stage,block_index,project_id,runtime_task_id,annotator_id,session_id,event_count,event_fragment_sum_audit_seconds,session_grouping,primary_active_time_status
uncertainty_substrate_v1,|||,P1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,,,,,4,0,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,14|3083|19|5b921592-c934-41ec-9c7d-f18c3058bbdc,P1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,14,3083,19,5b921592-c934-41ec-9c7d-f18c3058bbdc,1,52,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|2083|19|5b921592-c934-41ec-9c7d-f18c3058bbdc,P1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,2083,19,5b921592-c934-41ec-9c7d-f18c3058bbdc,1,5,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|3305|2|1783035270202-4d9c8d9172b1c,C1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,3305,2,1783035270202-4d9c8d9172b1c,5,5,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|459|1|1785415307823-980826a4cb9d1,C1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,459,1,1785415307823-980826a4cb9d1,1,38,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|460|1|1785676324985-5e18caee0a8448,C2-B,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,460,1,1785676324985-5e18caee0a8448,3,41,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|460|19|5b921592-c934-41ec-9c7d-f18c3058bbdc,P1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,460,19,5b921592-c934-41ec-9c7d-f18c3058bbdc,1,1,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|461|1|1782787799787-3d378a601a2c5,P1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,461,1,1782787799787-3d378a601a2c5,1,53,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|461|1|1785676324985-5e18caee0a8448,C2-B,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,461,1,1785676324985-5e18caee0a8448,1,2,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|462|1|1785676324985-5e18caee0a8448,C2-B,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,462,1,1785676324985-5e18caee0a8448,1,7,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|463|1|1782787886183-6211dd23ee3018,P1,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,463,1,1782787886183-6211dd23ee3018,13,957,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|463|1|1785657673775-276bf7f7070d2,C2-B,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,463,1,1785657673775-276bf7f7070d2,2,55,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
uncertainty_substrate_v1,2|464|1|1785657673775-276bf7f7070d2,C2-B,OUT_OF_SCOPE,OUT_OF_SCOPE,0,2,464,1,1785657673775-276bf7f7070d2,1,1,project_id+task_id+annotator_id+session_id,audit_only_not_recomputed
