fold,row_count,task_count,worker_count,spearman_rho,ci_lower,ci_upper,permutation_p,status,status_zh
A_to_B,7,7,0,-0.5071505162084871,-0.9999999999999999,0.39094010767584997,0.24375624375624375,estimated,已估计
B_to_A,7,7,0,-0.7071067811865476,-0.9999999999999999,0.1590356952382588,0.1258741258741259,estimated,已估计
