stage,stage_zh,condition,condition_zh,audit_class,raw_row_count,worker_count,task_count,lead_time_observed_count
C1,校准一阶段,manual,纯人工,annotation_version_not_selected;canonical_join_nonmatched,6,3,4,6
C1,校准一阶段,manual,纯人工,outside_assignment,7,2,6,7
C1,校准一阶段,semi,模型预标注辅助,outside_assignment,4,3,4,4
C1,校准一阶段,semi,模型预标注辅助,outside_assignment;annotation_version_not_selected;canonical_join_nonmatched,2,1,1,2
P1,预筛,manual,纯人工,annotation_version_not_selected;canonical_join_nonmatched,3,2,3,3
P1,预筛,semi,模型预标注辅助,annotation_version_not_selected;canonical_join_nonmatched,1,1,1,1
