base_task_id,condition,condition_zh,excluded_worker_id,formal_peer_worker_id,worker_process_class,primary_exclusion_class,metric_compatible,pointwise_correspondence_compatible,q_boundary,q_wallwall,passes_q095,analysis_role
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,纯人工,31,12,outside_assignment,manual_only_no_semi_candidate,True,False,0.9580151915747964,0.9402914258280836,False,excluded_worker_descriptive_only
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,纯人工,31,13,outside_assignment,manual_only_no_semi_candidate,True,True,0.916374336931237,0.8229517106756458,False,excluded_worker_descriptive_only
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,纯人工,31,27,outside_assignment,manual_only_no_semi_candidate,True,False,0.9380434624345536,0.8884940133239733,False,excluded_worker_descriptive_only
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,纯人工,31,30,outside_assignment,manual_only_no_semi_candidate,True,False,0.9534077997125162,0.9392457996715616,False,excluded_worker_descriptive_only
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,纯人工,31,35,outside_assignment,manual_only_no_semi_candidate,True,True,0.9223955907622672,0.8248429491164959,False,excluded_worker_descriptive_only
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,纯人工,14,18,administratively_excluded_worker,administratively_excluded_worker,True,False,0.9727608906828694,0.9670831871429212,False,excluded_worker_descriptive_only
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,纯人工,14,31,administratively_excluded_worker,administratively_excluded_worker,True,True,0.9972281834375296,0.9964635580942,True,excluded_worker_descriptive_only
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,纯人工,14,32,administratively_excluded_worker,administratively_excluded_worker,True,False,0.977872155675451,0.9757994794675292,False,excluded_worker_descriptive_only
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,纯人工,14,34,administratively_excluded_worker,administratively_excluded_worker,True,True,0.9978981345140244,0.9968118793036866,True,excluded_worker_descriptive_only
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,纯人工,14,8,administratively_excluded_worker,administratively_excluded_worker,True,True,0.9999353185945408,0.999063670411985,True,excluded_worker_descriptive_only
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,纯人工,14,13,administratively_excluded_worker,administratively_excluded_worker,True,True,0.995720863498337,1.0,True,excluded_worker_descriptive_only
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,纯人工,14,28,administratively_excluded_worker,administratively_excluded_worker,True,True,0.9580754253933508,0.9781131810077548,True,excluded_worker_descriptive_only
