stage,stage_zh,scenario,similarity_threshold,support_band,min_valid_k,max_valid_k,task_count,supported_multimodal_count,supported_multimodal_rate,strong_persistent_split_count,strong_persistent_split_rate,severe_persistent_split_count,severe_persistent_split_rate,not_evaluable_count,not_evaluable_rate,strong_persistent_lower_bound,strong_persistent_upper_bound_if_all_not_evaluable,inference_unit,status,status_zh
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.9,all_k_ge_5,5,20,50,12,0.24,11,0.22,11,0.22,1,0.02,0.22,0.24,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.9,cap5_only,5,5,38,5,0.131578947368421,5,0.131578947368421,5,0.131578947368421,1,0.0263157894736842,0.131578947368421,0.1578947368421052,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.9,high_support_k_ge_20,20,20,12,7,0.5833333333333334,6,0.5,6,0.5,0,0.0,0.5,0.5,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.925,all_k_ge_5,5,20,50,11,0.22,10,0.2,10,0.2,5,0.1,0.2,0.3,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.925,cap5_only,5,5,38,5,0.131578947368421,5,0.131578947368421,5,0.131578947368421,2,0.0526315789473684,0.131578947368421,0.1842105263157894,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.925,high_support_k_ge_20,20,20,12,6,0.5,5,0.4166666666666667,5,0.4166666666666667,3,0.25,0.4166666666666667,0.6666666666666666,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.93,all_k_ge_5,5,20,50,12,0.24,11,0.22,11,0.22,2,0.04,0.22,0.26,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.93,cap5_only,5,5,38,5,0.131578947368421,5,0.131578947368421,5,0.131578947368421,2,0.0526315789473684,0.131578947368421,0.1842105263157894,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.93,high_support_k_ge_20,20,20,12,7,0.5833333333333334,6,0.5,6,0.5,0,0.0,0.5,0.5,base_task_id,development_descriptive_only,原始码：development_descriptive_only
Calibration,原始码：Calibration,current20_frozen_geometry_pool,0.95,all_k_ge_5,5,20,50,12,0.24,11,0.22,10,0.2,5,0.1,0.22,0.32,base_task_id,development_descriptive_only,原始码：development_descriptive_only
