metric,value,meaning_zh
audit_supplement_table_count,12,audit_supplement_table_count
c2_terminal_eligible_row_count,227,c2_terminal_eligible_row_count
crowd_gt_task_condition_count,101,crowd_gt_task_condition_count
dual_task_count,54,dual_task_count
event_count,34417,排除 sandbox 后的观测事件数
image_count,214,image_count
manual_semi_task_count,25,manual_semi_task_count
raw_annotation_count,2513,raw_annotation_count
raw_only_record_count,12,raw_only_record_count
selected_record_count,2501,selected_record_count
semi_review_count,574,semi_review_count
session_count,3735,session_count
