stage,stage_zh,condition,condition_zh,row_count,task_count,worker_count,edited_count,edited_rate,positive_metric_change_count,negative_metric_change_count,near_zero_metric_change_count,metric_not_computable_count,edit_rmse_median,initial_metric_mean,final_metric_mean,delta_metric_mean
C1,校准一阶段,semi,模型预标注辅助,106,25,23,73,0.6886792452830188,0,46,41,19,0.0,0.9984637868578055,0.9541212038125886,-0.044010701739992546
P1,预筛,semi,模型预标注辅助,468,18,26,355,0.7585470085470085,93,123,252,0,1.2982208036864031,0.9415964582392513,0.9289079087888537,-0.012688549450397643
