base_task_id,building_id,condition,condition_zh,cluster_rank,cluster_support,supported_cluster,quality_computable_count,cluster_iou_mean,cluster_iou_median,cluster_iou_min,cluster_iou_max,worker_ids,annotation_ids
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,纯人工,1,4,True,4,0.831111642009269,0.8311110434571953,0.8273930469565495,0.8348314341661358,27;28;10;6,a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95;bd14297e6f34d6705898;9ba553c8c79977374da6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,纯人工,2,1,False,1,0.8405263323574779,0.8405263323574779,0.8405263323574779,0.8405263323574779,30,d5c88ef7632f0c3ce88f
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,纯人工,1,3,True,3,0.7715007268659863,0.8170038437484628,0.6675281758994687,0.8299701609500272,27;30;12,4d53581ef39bae3bf5d1;c89be364009b1fc0544e;e7909355f0df5dd9276a
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,纯人工,2,2,True,2,0.5358493980420873,0.5358493980420873,0.5126191940941249,0.5590796019900498,35;13,b02aea4f86afbc5430f7;ec6c38a862059f07bf7f
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,纯人工,1,3,True,3,0.816269324633161,0.8159975809049256,0.8114405802639121,0.8213698127306455,31;34;8,6051dfca1aade85a07a8;dec8403a4ddac6db3115;74c45cde6e9ca313500c
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,纯人工,2,1,False,1,0.9153773042033324,0.9153773042033324,0.9153773042033324,0.9153773042033324,32,e6f01175aabbf9fcafe7
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,纯人工,3,1,False,1,0.9756172597072762,0.9756172597072762,0.9756172597072762,0.9756172597072762,18,c63d05f140fcc66be4df
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,模型预标注辅助,1,4,True,4,1.0,1.0,1.0,1.0,33;36;11;6,678fd1b3368b3c6302ad;53cffa383a4d19c3e30e;a63b28ab3b493bd3ee11;4486738211819be8d3d4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,纯人工,1,3,True,3,0.9477788710859466,0.94017990656914,0.935512024825446,0.9676446818632536,33;1;2,517087c6def062efa361;d22e8df3dcff4100efb5;a25753564e8d0fb8f8d6
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,纯人工,2,1,False,1,0.9209814704942724,0.9209814704942724,0.9209814704942724,0.9209814704942724,37,8125fd4575ecfc155a63
