population,population_zh,status,status_zh,source_row_count,task_count,building_count,quality_per_risk_slope,task_level_spearman_rho,rank_effect_exact_building_signflip_p,cluster_bootstrap_repetitions,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,formal_row_level_p_reported,note
all_computable,全部可计算,task_aggregated_building_cluster_bootstrap,原始码：task_aggregated_building_cluster_bootstrap,235,70,9,-0.019138300727593656,-0.5694864841221241,0.015625,10000.0,-0.031124669535262096,-0.010168991645412875,False,aggregate risk and quality to task first; bootstrap whole buildings; population retained
formal_only,仅正式口径,task_aggregated_building_cluster_bootstrap,原始码：task_aggregated_building_cluster_bootstrap,227,67,9,-0.02383745836265995,-0.55239843562934,0.01953125,10000.0,-0.04090215497119595,-0.01403113418431175,False,aggregate risk and quality to task first; bootstrap whole buildings; population retained
administrative_eligible,行政状态可纳入,task_aggregated_building_cluster_bootstrap,原始码：task_aggregated_building_cluster_bootstrap,235,70,9,-0.019138300727593656,-0.5694864841221241,0.015625,10000.0,-0.031124669535262096,-0.010168991645412875,False,aggregate risk and quality to task first; bootstrap whole buildings; population retained
administrative_ineligible,行政状态不可纳入,not_evaluable,不可评价,0,0,0,,,,,,,,
