stage,stage_zh,condition,condition_zh,active_time_source,timing_status,active_time_measurement_class,record_count,active_candidate_count,active_direct_count,active_formal_count,lead_time_count,worker_count,task_count
C1,校准一阶段,manual,纯人工,c1_task_worker_active_time_v1,eligible,formal_frozen,572,572,572,572,572,21,87
C1,校准一阶段,manual,纯人工,c1_task_worker_active_time_v1,eligible_partial_session_coverage,formal_frozen,20,20,20,20,20,6,14
C1,校准一阶段,manual,纯人工,c1_task_worker_active_time_v1,eligible_with_protocol_deviation,formal_frozen,15,15,15,15,15,1,15
C1,校准一阶段,manual,纯人工,c1_task_worker_active_time_v1,not_evaluable,missing,67,0,0,0,67,5,50
C1,校准一阶段,semi,模型预标注辅助,c1_task_worker_active_time_v1,eligible,formal_frozen,92,92,92,92,92,21,25
C1,校准一阶段,semi,模型预标注辅助,c1_task_worker_active_time_v1,eligible_with_protocol_deviation,formal_frozen,2,2,2,2,2,1,2
C1,校准一阶段,semi,模型预标注辅助,c1_task_worker_active_time_v1,not_evaluable,missing,12,0,0,0,12,5,10
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,log,auxiliary_available,formal_frozen,20,20,20,20,20,10,17
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,log,auxiliary_mixed_or_legacy,formal_frozen,20,20,20,20,20,10,18
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,log,auxiliary_available,formal_frozen,20,20,20,20,20,10,15
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,log,auxiliary_mixed_or_legacy,formal_frozen,20,20,20,20,20,10,17
C2-B,校准二阶段B,manual,纯人工,log,auxiliary_mixed_or_legacy,formal_frozen,160,160,160,160,160,20,46
P1,预筛,manual,纯人工,lead_time_fallback,fallback_annotation_missing_task_level_ambiguous,lead_time_proxy_excluded,3,3,0,0,3,2,3
P1,预筛,manual,纯人工,lead_time_fallback,fallback_no_direct_log,lead_time_proxy_excluded,177,177,0,0,177,6,30
P1,预筛,manual,纯人工,log,project+task+annotator,formal_frozen,599,599,599,599,599,20,30
P1,预筛,oos,原始码：oos,lead_time_fallback,fallback_no_direct_log,lead_time_proxy_excluded,54,54,0,0,54,6,9
P1,预筛,oos,原始码：oos,log,project+task+annotator,formal_frozen,180,180,180,180,180,20,9
P1,预筛,semi,模型预标注辅助,lead_time_fallback,fallback_annotation_missing_task_level_ambiguous,lead_time_proxy_excluded,1,1,0,0,1,1,1
P1,预筛,semi,模型预标注辅助,lead_time_fallback,fallback_no_direct_log,lead_time_proxy_excluded,117,117,0,0,117,7,18
P1,预筛,semi,模型预标注辅助,lead_time_fallback,fallback_project_mismatch_no_direct_log,lead_time_proxy_excluded,1,1,0,0,1,1,1
P1,预筛,semi,模型预标注辅助,log,project+task+annotator,formal_frozen,349,349,349,349,349,20,18
