population,population_zh,inference_role,threshold,metric,estimand,primary_metric,inference_unit,n_tasks,n_buildings,mean_difference,ci_lower,ci_upper,building_exact_sign_flip_p,task_exact_sign_flip_p_sensitivity,holm_adjusted_p_within_threshold
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.93,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.04,-0.1,0.0,0.25,0.25,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.93,mode_count,semi_minus_manual_task_equal,False,building_cluster,25,9,0.032,-0.3391521739130435,0.3926111111111108,0.921875,0.9178533554077148,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.93,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,23,9,-0.0012206103454352,-0.0052815628411984,0.0017709763432276,0.52734375,0.4802484512329101,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.93,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0025023833182722,-0.0100716220779647,0.003714912583521,0.46875,0.531132161617279,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.95,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0212300929631695,-0.1659731434835684,0.1837394847808137,0.8671875,0.8579001426696777,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.95,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0193333333333333,-0.0888932291666666,0.1099374999999999,0.7421875,0.788541316986084,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.95,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0039999999999999,-0.0825027173913043,0.0973684210526315,0.9609375,0.9732789993286132,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.95,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.04,-0.1,0.0,0.25,0.25,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.95,mode_count,semi_minus_manual_task_equal,False,building_cluster,25,9,0.032,-0.3399999999999999,0.3833333333333333,0.921875,0.9178533554077148,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.95,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,23,9,-0.0012206103454352,-0.0052247966867026,0.0017652069353774,0.52734375,0.4802484512329101,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.95,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0025023833182722,-0.0101215293516789,0.0036753562217097,0.46875,0.531132161617279,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.97,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,24,9,-0.0106882032661288,-0.1729707563583367,0.1649630566444671,0.9375,0.928457260131836,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.97,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,24,9,0.0024305555555555,-0.0935534274193548,0.0999999999999999,0.984375,0.9764065742492676,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.97,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,24,9,0.0208333333333333,-0.0725056818181818,0.10435817805383,0.71875,0.7615871429443359,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.97,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,24,9,-0.0333333333333333,-0.096,0.0,0.5,0.5,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.97,mode_count,semi_minus_manual_task_equal,False,building_cluster,24,9,-0.0416666666666666,-0.3727272727272727,0.3440363636363632,0.875,0.8901176452636719,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.97,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,23,9,-0.0012206103454352,-0.0052771615260798,0.0017793663222885,0.52734375,0.4802484512329101,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.97,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0025023833182722,-0.0099173194693032,0.0037260879468167,0.46875,0.531132161617279,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.93,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0002116957866128,-0.210289227013997,0.2050793325205062,1.0,0.9991073608398438,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.93,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0028463203463203,-0.1268633540372671,0.1160870814592703,0.96875,0.9695205688476562,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.93,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0129870129870129,-0.0983333333333333,0.1232142857142857,0.796875,0.8454742431640625,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.93,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.058008658008658,-0.1294117647058823,0.0,0.25,0.25,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.93,mode_count,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0294372294372293,-0.4022857142857143,0.4761904761904761,0.875,0.913604736328125,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.93,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0022676999019926,-0.0051151479834118,-1.144363821300999e-05,0.11328125,0.209817886352539,0.79296875
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.93,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0038752225584228,-0.0089806687510714,0.0030340796697705,0.2890625,0.3291306495666504,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.95,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0026283807013609,-0.2186540141688265,0.2057068148692371,0.9765625,0.9832305908203124,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.95,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0047402597402597,-0.1277597552910053,0.1128333333333333,0.953125,0.94989013671875,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.95,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0142496392496392,-0.0965608465608465,0.1246341036414565,0.78125,0.832000732421875,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.95,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.058008658008658,-0.1285857142857142,0.0,0.25,0.25,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.95,mode_count,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0243867243867243,-0.405849299719888,0.4624338624338624,0.890625,0.921112060546875,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.95,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0022676999019926,-0.0050396633322152,-1.7400776723714063e-05,0.11328125,0.209817886352539,0.79296875
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.95,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0038752225584228,-0.0089302379245169,0.0032914316364637,0.2890625,0.3291306495666504,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.97,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0474182832076127,-0.2341349704165935,0.1744948108174693,0.5703125,0.7160797119140625,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.97,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0325056689342403,-0.1401294642857143,0.0938990476190475,0.5546875,0.6760406494140625,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.97,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,21,9,0.0366213151927437,-0.0818840579710145,0.1372670807453415,0.53125,0.594573974609375,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.97,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0702947845804988,-0.1368421052631579,-0.017391304347826,0.125,0.125,0.79296875
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.97,mode_count,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0612244897959184,-0.4476190476190476,0.4117736185383243,0.703125,0.82708740234375,1.0
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.97,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0022676999019926,-0.0050876680691524,1.0766529172685325e-07,0.11328125,0.209817886352539,0.79296875
all_canonical_in_scope,原始码：all_canonical_in_scope,inclusive_worker_sensitivity,0.97,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0038752225584228,-0.0089387948093787,0.0031485092967778,0.2890625,0.3291306495666504,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.93,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0075060818608318,-0.2095428860799856,0.1779273454145309,0.9296875,0.9477500915527344,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.93,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0015047619047619,-0.1232080200501253,0.1038129699248119,0.984375,0.98260498046875,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.93,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0214285714285714,-0.0788461538461538,0.128079294217687,0.6640625,0.7210063934326172,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.93,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.059047619047619,-0.1195767195767195,-0.0117647058823529,0.125,0.125,0.875
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.93,mode_count,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0060952380952381,-0.4208616780045351,0.3974358974358974,0.96875,0.9861564636230468,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.93,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,23,9,-0.0011962561386442,-0.0050954875529819,0.0016993785442919,0.50390625,0.5116620063781738,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.93,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0034543136661681,-0.0108509124879837,0.0031040229621444,0.34375,0.3920946717262268,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.95,shannon_entropy,semi_minus_manual_task_equal,True,building_cluster,25,9,-0.0100053491702488,-0.2194457402923084,0.1766040429346648,0.9140625,0.9305791854858398,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.95,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0031714285714285,-0.1260218253968254,0.1004026811594202,0.96875,0.9636249542236328,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.95,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0225396825396825,-0.0769866071428571,0.1284553571428571,0.65625,0.7089748382568359,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.95,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.059047619047619,-0.1195790200138026,-0.0111111111111111,0.125,0.125,0.875
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.95,mode_count,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0105396825396825,-0.4241269841269841,0.3851851851851852,0.96875,0.9723129272460938,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.95,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,23,9,-0.0011962561386442,-0.0050392224525706,0.0016712833827547,0.50390625,0.5116620063781738,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.95,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0034543136661681,-0.0108831237298469,0.0031313127004115,0.34375,0.3920946717262268,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.97,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,24,9,-0.0469414993042085,-0.2288526043692962,0.1557331842021471,0.5859375,0.6906757354736328,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.97,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,24,9,-0.023234126984127,-0.133047619047619,0.0891304347826087,0.671875,0.74090576171875,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.97,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,24,9,0.0424603174603174,-0.0658343253968253,0.1396030701754385,0.484375,0.4953994750976562,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.97,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,24,9,-0.0615079365079365,-0.1238095238095238,-0.0137931034482758,0.125,0.125,0.875
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.97,mode_count,semi_minus_manual_task_equal,False,building_cluster,24,9,-0.0952380952380952,-0.4611721611721612,0.3309928571428565,0.578125,0.7014808654785156,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.97,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,23,9,-0.0011962561386442,-0.0050856165512519,0.0016993785442919,0.50390625,0.5116620063781738,1.0
all_canonical_planned,原始码：all_canonical_planned,primary_data_mining_inclusive_descriptive,0.97,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,25,9,-0.0034543136661681,-0.0107666574068905,0.003145552508342,0.34375,0.3920946717262268,1.0
