base_task_id,building_id,manual_context_count,manual_eligible_context_count,manual_active_seconds_mean,manual_active_seconds_median,manual_observed_active_seconds_count,manual_observed_active_seconds_mean,manual_observed_active_seconds_median,manual_time_exclusion_reasons,semi_context_count,semi_eligible_context_count,semi_active_seconds_mean,semi_active_seconds_median,semi_observed_active_seconds_count,semi_observed_active_seconds_mean,semi_observed_active_seconds_median,semi_time_exclusion_reasons,delta_active_seconds_mean,delta_observed_active_seconds_mean,delta_active_seconds_median,delta_observed_active_seconds_median
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,5,138.6,81.0,5,138.6,81.0,,0,0,,,0,,,,,,,
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,5,120.0,79.0,5,120.0,79.0,,0,0,,,0,,,,,,,
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,5,163.0,122.0,5,163.0,122.0,nonformal_assignment_provenance;outside_assignment;formal_assignment_not_expected;canonical_submission_not_legal;no_active_log_session,0,0,,,0,,,,,,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,5,118.0,90.0,5,118.0,90.0,administratively_excluded_worker;no_active_log_session,4,4,86.0,92.0,4,86.0,92.0,,-32.0,-32.0,2.0,2.0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,4,261.25,296.0,4,261.25,296.0,no_active_log_session,4,4,353.0,349.5,4,353.0,349.5,,91.75,91.75,53.5,53.5
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,5,5,161.6,191.0,5,161.6,191.0,,0,0,,,0,,,,,,,
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,5,108.4,48.0,5,108.4,48.0,,0,0,,,0,,,,,,,
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,4,149.75,139.5,4,149.75,139.5,no_active_log_session,0,0,,,0,,,,,,,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,4,222.5,232.0,4,222.5,232.0,no_active_log_session,4,4,67.25,24.0,4,67.25,24.0,,-155.25,-155.25,-208.0,-208.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,5,308.4,364.0,5,308.4,364.0,,4,4,56.25,61.5,4,56.25,61.5,,-252.15,-252.15,-302.5,-302.5
